algorithm,kHops,p2pRqsRadius,taxiCount,clientCount,taxiSeatCount,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,spawnScenario,metric,runs,avgOfAvg,stdDevOfAvg,minAvg,maxAvg,avgSpread,minSpread,maxSpread
TaxiAlgorithmP2PCollector,1,1000,10,25,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,1,1000,10,50,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,152.12699999999998,48.61116662866671,86.73,245.47,364.36500000000007,209.97000000000003,534.76
TaxiAlgorithmP2PCollector,1,1000,10,50,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,67.702,21.687711174764384,36.76,105.4,233.198,95.32,465.90000000000003
TaxiAlgorithmP2PCollector,1,1000,10,50,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,11925.138,2114.7518175038886,8395.52,16012.4,33190.9,25327.0,38000.0
TaxiAlgorithmP2PCollector,1,1000,10,50,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.11500000000000002,0.0049999999999999975,0.11,0.12,95.7,61.0,126.0
TaxiAlgorithmP2PCollector,1,1000,10,50,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,1,1000,20,50,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,116.00999999999996,21.312548885574433,88.57,148.66,372.528,236.13,638.76
TaxiAlgorithmP2PCollector,1,1000,20,50,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,57.888999999999996,13.075324431921377,31.85,79.87,284.595,129.03,484.55
TaxiAlgorithmP2PCollector,1,1000,20,50,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,9226.698,1075.3868733232705,7022.56,10275.72,33683.1,28501.0,38433.0
TaxiAlgorithmP2PCollector,1,1000,20,50,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.44200000000000006,0.006000000000000005,0.43,0.45,182.0,169.0,195.0
TaxiAlgorithmP2PCollector,1,1000,20,50,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,1,1000,20,100,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,395.226,72.4026012239892,267.09,509.29,1343.233,598.84,1657.35
TaxiAlgorithmP2PCollector,1,1000,20,100,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,183.574,30.530908338927617,128.07,225.94,797.676,437.08,1057.35
TaxiAlgorithmP2PCollector,1,1000,20,100,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,21201.393000000004,1163.5814534191409,19357.01,22930.03,71838.3,63478.0,76508.0
TaxiAlgorithmP2PCollector,1,1000,20,100,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.457,0.004582575694955844,0.45,0.46,190.0,181.0,208.0
TaxiAlgorithmP2PCollector,1,1000,20,100,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,1,5000,5,25,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,104.87100000000002,12.022377011223696,86.22,125.25,65.86799999999998,21.810000000000002,157.58999999999997
TaxiAlgorithmP2PCollector,1,5000,5,25,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,15.237999999999996,8.798221183853018,8.19,40.58,60.86800000000001,22.55,105.11
TaxiAlgorithmP2PCollector,1,5000,5,25,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,1678.78,702.3150366039446,837.96,2928.88,6310.4,1405.0,17674.0
TaxiAlgorithmP2PCollector,1,5000,5,25,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.026000000000000002,0.004898979485566356,0.02,0.03,7.6,0.0,51.0
TaxiAlgorithmP2PCollector,1,5000,5,25,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,1,5000,10,25,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,74.85,8.710106773168743,57.74,91.28,80.321,51.07000000000001,120.84
TaxiAlgorithmP2PCollector,1,5000,10,25,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,6.539,1.3953239767165189,4.64,9.3,25.982000000000006,13.09,45.4
TaxiAlgorithmP2PCollector,1,5000,10,25,1,nearest,1,4,1,BASELINE,Client Travel Time [min],10,849.124,108.84515599694824,657.84,1005.68,1867.5,1096.0,3233.0
TaxiAlgorithmP2PCollector,1,5000,10,25,1,nearest,1,4,1,BASELINE,Calculation Time [millis],10,0.053000000000000005,0.013453624047073714,0.03,0.07,5.4,0.0,29.0
TaxiAlgorithmP2PCollector,1,5000,10,25,1,nearest,1,4,1,BASELINE,Custom Time [micros],10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,1,5000,10,50,1,nearest,1,4,1,BASELINE,Taxi Travel Distance [km],10,198.119,36.789370869858594,141.2,261.66,256.842,160.83999999999997,436.7
TaxiAlgorithmP2PCollector,1,5000,10,50,1,nearest,1,4,1,BASELINE,Client Waiting Time [min],10,39.321000000000005,8.584832496909884,23.57,52.7,222.019,133.94,551.28
