taxiCount,clientCount,taxiSeatCount,spawnScenario,worldSeed,effectAtModeratorFrom,effectAtModeratorTo,interaction,moderation,factor,factorFrom,factorTo,moderator,moderatorFrom,moderatorTo,outcome,effectScale,scope
39.0,638.0,1.0,SPATIAL_IMBALANCE,3,32.05329153605017,0.0,-32.05329153605017,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,SPATIAL_IMBALANCE,4,30.642633228840133,0.0,-30.642633228840133,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,SPATIAL_IMBALANCE,5,32.314524555903866,0.0,-32.314524555903866,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,SPATIAL_IMBALANCE,6,30.041797283176606,0.0,-30.041797283176606,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,SPATIAL_IMBALANCE,7,27.403343782654133,0.0,-27.403343782654133,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,SPATIAL_IMBALANCE,8,25.613897596656223,0.0,-25.613897596656223,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,SPATIAL_IMBALANCE,9,31.465517241379317,0.0,-31.465517241379317,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,SPATIAL_ISLANDS,0,40.04702194357367,0.5355276907001105,-39.51149425287356,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,SPATIAL_ISLANDS,1,46.159874608150474,0.757575757575768,-45.40229885057471,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,SPATIAL_ISLANDS,2,41.34012539184953,0.10449320794148065,-41.23563218390805,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,SPATIAL_ISLANDS,3,46.21212121212122,0.9665621734587293,-45.24555903866249,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,SPATIAL_ISLANDS,4,38.37513061650992,0.37878787878787845,-37.996342737722046,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,SPATIAL_ISLANDS,5,36.83385579937305,0.470219435736674,-36.363636363636374,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,SPATIAL_ISLANDS,6,42.293625914315584,0.44409613375130386,-41.84952978056428,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,SPATIAL_ISLANDS,7,39.85109717868339,0.470219435736674,-39.380877742946716,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,SPATIAL_ISLANDS,8,41.745036572622794,0.4179728317659337,-41.32706374085686,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
39.0,638.0,1.0,SPATIAL_ISLANDS,9,34.24764890282132,0.10449320794148065,-34.14315569487984,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
1685.0,27762.0,1.0,BASELINE,0,-0.11976802824004151,0.0,0.11976802824004151,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
1685.0,27762.0,1.0,BASELINE,1,-0.05793290589055644,0.0,0.05793290589055644,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
1685.0,27762.0,1.0,BASELINE,2,-0.12096871022739819,0.0,0.12096871022739819,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
1685.0,27762.0,1.0,BASELINE,3,-0.14918473693057432,0.0,0.14918473693057432,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario
