taxiCount,clientCount,taxiSeatCount,spawnScenario,moderation,factor,factorFrom,factorTo,moderator,moderatorFrom,moderatorTo,outcome,effectScale,scope,seeds,effectAtModeratorFromMean,effectAtModeratorToMean,interactionMean,interactionStd,ci95Low,ci95High,sameDirectionSeeds,pValue,pValueHolm
39.0,638.0,1.0,SPATIAL_IMBALANCE,hops_by_radius,kHops,0,2,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario,10,-0.5617844450086273,-0.0051144367629230025,0.5566700082457043,0.7686289219077713,0.006826000816607558,1.1065140156748012,9,0.04775585824912576,0.9902576454117421
39.0,638.0,1.0,SPATIAL_IMBALANCE,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,distance,relative percent,city-scenario,10,231.74744178963115,9.473297777832395,-222.27414401179877,17.515998593648273,-234.80433457104712,-209.74395345255041,10,1.844513899388361e-11,1.088263200639133e-09
39.0,638.0,1.0,SPATIAL_IMBALANCE,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario,10,29.83934169278997,0.0,-29.83934169278997,2.1878362887538447,-31.40442549112193,-28.274257894458007,10,9.667751909477971e-12,5.897328664781563e-10
39.0,638.0,1.0,SPATIAL_IMBALANCE,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario,10,-90.82978762060586,-1.4735981908540676,89.3561894297518,0.8550679223425385,88.74451068641496,89.96786817308863,10,1.0829494505602493e-19,9.096775384706094e-18
39.0,638.0,1.0,SPATIAL_IMBALANCE,shortcuts_by_hops,p2pOverlayShortcuts,0,1,kHops,0,2,distance,relative percent,city-scenario,10,0.0,-0.011938787278129581,-0.011938787278129581,0.5259036003267938,-0.3881475596560334,0.36426998509977426,6,0.9443403312141075,1.0
39.0,638.0,1.0,SPATIAL_IMBALANCE,shortcuts_by_hops,p2pOverlayShortcuts,0,1,kHops,0,2,pickup,percentage points,city-scenario,10,0.0,0.022988505747127963,0.022988505747127963,0.08246949861486631,-0.036006619620412496,0.08198363111466841,6,0.40098087912152147,1.0
39.0,638.0,1.0,SPATIAL_IMBALANCE,shortcuts_by_hops,p2pOverlayShortcuts,0,1,kHops,0,2,waiting,relative percent,city-scenario,10,0.0,0.0015635792077417499,0.0015635792077417499,1.031629158354832,-0.7364194636403261,0.7395466220558096,5,0.9962804086937772,1.0
39.0,638.0,1.0,SPATIAL_ISLANDS,hops_by_radius,kHops,0,2,p2pRqsRadius,1000,3000,distance,relative percent,city-scenario,10,0.7154470243035438,0.10919868872271365,-0.6062483355808301,1.3642478582285673,-1.5821724624444375,0.3696757912827773,8,0.19350894897313664,1.0
39.0,638.0,1.0,SPATIAL_ISLANDS,hops_by_radius,kHops,0,2,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario,10,0.293887147335421,0.07445141065830496,-0.21943573667711602,0.3691251226556221,-0.48349194234260834,0.044620468988376294,7,0.09282175996685019,1.0
39.0,638.0,1.0,SPATIAL_ISLANDS,hops_by_radius,kHops,0,2,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario,10,-0.7970714842505288,-0.9989516422661515,-0.2018801580156226,2.5121714483519253,-1.998979352620903,1.5952190365896577,6,0.805111055244641,1.0
39.0,638.0,1.0,SPATIAL_ISLANDS,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,distance,relative percent,city-scenario,10,322.9012712621171,12.764485645768527,-310.13678561634856,42.64815495218128,-340.64543778905227,-279.62813344364486,10,2.642452994358275e-09,1.2155283774048064e-07
39.0,638.0,1.0,SPATIAL_ISLANDS,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,pickup,percentage points,city-scenario,10,40.7105538140021,0.46499477533960326,-40.245559038662485,3.574115802526803,-42.80232746080209,-37.68879061652288,10,5.3747676979673676e-11,2.848626879922705e-09
39.0,638.0,1.0,SPATIAL_ISLANDS,roaming_by_radius,idleRoamingMode,none,past-avg-total,p2pRqsRadius,1000,3000,waiting,relative percent,city-scenario,10,-93.41841590209505,-23.602635902858047,69.815779999237,7.915839560762662,64.15312950274972,75.47843049572427,10,4.75687713719629e-10,2.3308697972261822e-08
39.0,638.0,1.0,SPATIAL_ISLANDS,shortcuts_by_hops,p2pOverlayShortcuts,0,1,kHops,0,2,distance,relative percent,city-scenario,10,0.0,0.7942126746998002,0.7942126746998002,0.5725170956832205,0.38465861650642114,1.2037667328931791,9,0.0017536779811449337,0.043841949528623345
39.0,638.0,1.0,SPATIAL_ISLANDS,shortcuts_by_hops,p2pOverlayShortcuts,0,1,kHops,0,2,pickup,percentage points,city-scenario,10,0.0,0.3087774294670831,0.3087774294670831,0.1395298466023373,0.20896379010860738,0.4085910688255588,10,6.338213000327449e-05,0.001964846030101509
39.0,638.0,1.0,SPATIAL_ISLANDS,shortcuts_by_hops,p2pOverlayShortcuts,0,1,kHops,0,2,waiting,relative percent,city-scenario,10,0.0,-2.0543270382094825,-2.0543270382094825,0.7590519638378089,-2.597320102544871,-1.511333973874094,10,1.2859536551323384e-05,0.00043722424274499506
