taxiCount,clientCount,taxiSeatCount,spawnScenario,kHops,p2pRequestRepublishTicks,p2pRqsRadius,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingMode,seeds,deltaPctMean,deltaPctStd,metric,deltaPctCi95Half
39,638,1,BASELINE,0,15,3000,nearest,1,4,0,1,2000,none,10,129.59230321130744,16.28703635632307,waiting,11.651043935578878
39,638,1,BASELINE,0,15,3000,nearest,1,4,0,1,2000,past-avg,10,127.38878776396946,17.892711748699632,waiting,12.799674916290991
39,638,1,BASELINE,0,15,3000,nearest,1,4,0,1,2000,past-avg-revisit,10,127.6503862067575,16.35409519256652,waiting,11.699014937193171
39,638,1,BASELINE,0,15,3000,nearest,1,4,0,1,2000,past-avg-total,10,127.54938119523561,16.126700181674412,waiting,11.536346345764207
39,638,1,BASELINE,0,15,3000,nearest,1,4,0,1,2000,random,10,125.63681836141889,15.566361690145984,waiting,11.135504336158258
39,638,1,BASELINE,0,15,3000,nearest,1,4,1,1,2000,none,10,129.59230321130744,16.28703635632307,waiting,11.651043935578878
39,638,1,BASELINE,0,15,3000,nearest,1,4,1,1,2000,past-avg,10,127.38878776396946,17.892711748699632,waiting,12.799674916290991
39,638,1,BASELINE,0,15,3000,nearest,1,4,1,1,2000,past-avg-revisit,10,127.6503862067575,16.35409519256652,waiting,11.699014937193171
39,638,1,BASELINE,0,15,3000,nearest,1,4,1,1,2000,past-avg-total,10,127.54938119523561,16.126700181674412,waiting,11.536346345764207
39,638,1,BASELINE,0,15,3000,nearest,1,4,1,1,2000,random,10,125.63681836141889,15.566361690145984,waiting,11.135504336158258
39,638,1,BASELINE,1,15,1000,greedy,0,4,0,1,2000,none,10,263.4332670104601,30.98610106559677,waiting,22.16612138692731
39,638,1,BASELINE,1,15,1000,greedy,0,4,0,1,2000,past-avg,10,52.21519514294609,20.490256819261884,waiting,14.657846721133666
39,638,1,BASELINE,1,15,1000,greedy,0,4,0,1,2000,past-avg-revisit,10,259.378146448135,23.903747298757512,waiting,17.099710709166313
39,638,1,BASELINE,1,15,1000,greedy,0,4,0,1,2000,past-avg-total,10,44.41852770754734,20.25380497321669,waiting,14.488699260131543
39,638,1,BASELINE,1,15,1000,greedy,0,4,0,1,2000,random,10,17.1539776937014,8.175609014314894,waiting,5.848478369050685
39,638,1,BASELINE,1,15,1000,greedy,0,4,1,1,2000,none,10,259.1654747766079,30.29298523072898,waiting,21.670296187804766
39,638,1,BASELINE,1,15,1000,greedy,0,4,1,1,2000,past-avg,10,51.75990965628191,19.63789604217546,waiting,14.048104552851303
39,638,1,BASELINE,1,15,1000,greedy,0,4,1,1,2000,past-avg-revisit,10,254.4927329488828,25.710316924222035,waiting,18.39205276689113
