rank,kHops,p2pRequestRepublishTicks,p2pRqsRadius,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingMode,groups,groupsWithin5,groupsWithin5WithTravel,meanWaitingDeltaPct,worstWaitingDeltaPct,meanDistanceDeltaPct,worstDistanceDeltaPct,meanTravelDeltaPct,worstTravelDeltaPct,worstPickupGapPoints,worstReferenceDeltaPct
65,1,15,3000,greedy,0,4,1,1,2000,past-avg,8,1,1,67.55138784029887,224.53730428794233,12.95791618009505,34.74563722841049,7.269537116430396,42.36478037885239,2.8103162596354703,224.53730428794233
66,1,15,3000,greedy,1,4,1,1,2000,past-avg,8,1,1,67.54879822132355,224.53730428794233,12.94914676890572,34.74563722841049,7.2681115285825,42.36478037885239,2.8103162596354703,224.53730428794233
67,1,15,3000,nearest,0,4,1,1,2000,past-avg,8,1,1,67.46772014861249,224.53730428794233,12.966671737285633,34.74563722841049,7.240492409691341,42.20294069044843,2.7861825516893646,224.53730428794233
68,1,15,3000,nearest,1,4,1,1,2000,past-avg,8,1,1,67.45991049983245,224.53730428794233,12.964410997076918,34.74563722841049,7.238605961708104,42.18826154808912,2.7807794827461985,224.53730428794233
69,2,15,3000,greedy,0,4,1,1,2000,past-avg,8,1,1,53.74866804028621,226.1565493913431,14.555567967104137,34.6906038596156,3.2792741231040243,23.045341975271217,0.930048267415895,226.1565493913431
70,2,15,3000,greedy,1,4,1,1,2000,past-avg,8,1,1,53.75945622456404,226.1565493913431,14.553803791437451,34.6906038596156,3.2889010032497477,23.045341975271217,0.9390533823211644,226.1565493913431
71,2,15,3000,nearest,0,4,1,1,2000,past-avg,8,1,1,53.780872704196256,226.1565493913431,14.538129749881481,34.6906038596156,3.2767723920294713,23.045341975271217,0.9232043800878831,226.1565493913431
72,2,15,3000,nearest,1,4,1,1,2000,past-avg,8,1,1,53.776349957342134,226.1565493913431,14.535428427165197,34.6906038596156,3.276521799861082,23.045341975271217,0.9253656076651628,226.1565493913431
73,0,15,3000,greedy,0,4,0,1,2000,past-avg,8,2,2,76.64419288903429,226.35779979839006,11.573682829612213,34.43603753170548,9.9227427346243,61.57028121314367,4.216194798645634,226.35779979839006
74,0,15,3000,greedy,0,4,1,1,2000,past-avg,8,2,2,76.64419288903429,226.35779979839006,11.573682829612213,34.43603753170548,9.9227427346243,61.57028121314367,4.216194798645634,226.35779979839006
75,0,15,3000,greedy,1,4,0,1,2000,past-avg,8,2,2,76.64419288903429,226.35779979839006,11.573682829612213,34.43603753170548,9.9227427346243,61.57028121314367,4.216194798645634,226.35779979839006
76,0,15,3000,greedy,1,4,1,1,2000,past-avg,8,2,2,76.64419288903429,226.35779979839006,11.573682829612213,34.43603753170548,9.9227427346243,61.57028121314367,4.216194798645634,226.35779979839006
77,0,15,3000,nearest,0,4,0,1,2000,past-avg,8,2,2,76.64419288903429,226.35779979839006,11.573682829612213,34.43603753170548,9.9227427346243,61.57028121314367,4.216194798645634,226.35779979839006
78,0,15,3000,nearest,0,4,1,1,2000,past-avg,8,2,2,76.64419288903429,226.35779979839006,11.573682829612213,34.43603753170548,9.9227427346243,61.57028121314367,4.216194798645634,226.35779979839006
79,0,15,3000,nearest,1,4,0,1,2000,past-avg,8,2,2,76.64419288903429,226.35779979839006,11.573682829612213,34.43603753170548,9.9227427346243,61.57028121314367,4.216194798645634,226.35779979839006
80,0,15,3000,nearest,1,4,1,1,2000,past-avg,8,2,2,76.64419288903429,226.35779979839006,11.573682829612213,34.43603753170548,9.9227427346243,61.57028121314367,4.216194798645634,226.35779979839006
81,1,15,2000,nearest,1,4,1,1,2000,past-avg,8,1,1,48.30698311694884,227.4472871671537,12.617695696720151,35.47870412969441,3.687422783695851,61.495166658414234,4.148476334558026,227.4472871671537
82,1,15,2000,greedy,1,4,1,1,2000,past-avg,8,1,1,48.23172718547657,227.44913544717608,12.649231837928387,35.61657408504084,3.6719353371180725,61.48591622605626,4.124702831208116,227.44913544717608
83,1,15,2000,greedy,0,4,1,1,2000,past-avg,8,1,1,48.294110640384034,227.5532174246316,12.648362058304198,35.622398112614384,3.689111137325554,61.53422279664471,4.12830487717023,227.5532174246316
84,1,15,2000,nearest,0,4,1,1,2000,past-avg,8,1,1,48.26632233817608,227.95221912663663,12.633280410087835,35.61792425730987,3.703618809645418,61.64061209003546,4.179093725235939,227.95221912663663
85,2,15,2000,greedy,0,4,0,1,2000,past-avg,8,1,1,55.99119331353927,271.45522003036626,11.382917992178408,34.554361352406836,5.694508892157906,73.70666576983584,5.150925725812261,271.45522003036626
86,2,15,2000,nearest,1,4,0,1,2000,past-avg,8,1,1,55.97097683620875,272.1345706604256,11.297585363811706,34.4426158483883,5.710414798339222,73.8804366890119,5.1728982061811095,272.1345706604256
87,2,15,2000,greedy,1,4,0,1,2000,past-avg,8,1,1,55.952804267268874,272.4413057701488,11.322844512565977,34.59028333327472,5.726832589030449,73.99947308702104,5.195591095742391,272.4413057701488
88,2,15,2000,nearest,0,4,0,1,2000,past-avg,8,1,1,56.07114058026295,272.4428478933576,11.358706232279816,34.52780570774108,5.732165449298172,73.96942502802348,5.176500252143212,272.4428478933576
89,1,15,2000,nearest,1,4,0,1,2000,past-avg,8,1,1,56.197050866709006,274.3315519542443,11.558799663506338,34.733952891381236,5.821823806475322,74.48260217756895,5.231611555363447,274.3315519542443
90,1,15,2000,nearest,0,4,0,1,2000,past-avg,8,1,1,56.19606477274715,274.5584028139213,11.56435705625834,34.80336091747085,5.8309602942685945,74.54748943042095,5.230530941574807,274.5584028139213
91,1,15,2000,greedy,1,4,0,1,2000,past-avg,8,1,1,56.26652352879864,274.8025798814153,11.562194875016825,34.75403936424275,5.825826918425143,74.5900242681234,5.222606440458188,274.8025798814153
92,1,15,3000,greedy,0,4,1,1,2000,random,8,0,0,108.73310806411558,274.9683792580176,63.805173191202094,147.38155769651092,18.644011370813782,73.64954655467145,5.669980548951803,274.9683792580176
93,1,15,3000,greedy,1,4,1,1,2000,random,8,0,0,108.72973173176635,274.9683792580176,63.80989464838424,147.38155769651092,18.642735235084846,73.64954655467145,5.669980548951803,274.9683792580176
94,1,15,2000,greedy,0,4,0,1,2000,past-avg,8,1,1,56.274188687058285,275.17663547268916,11.566289605164148,34.823490292722916,5.836211978274552,74.70324419113119,5.232692169152076,275.17663547268916
95,1,15,3000,nearest,0,4,1,1,2000,random,8,0,0,108.71847122508548,275.5537403744736,63.81442130564205,147.38155769651092,18.62820165586664,73.7562049463576,5.649088682371584,275.5537403744736
96,1,15,3000,nearest,1,4,1,1,2000,random,8,0,0,108.71971739503353,275.5537403744736,63.81708225383868,147.38155769651092,18.62898077640927,73.7562049463576,5.649088682371584,275.5537403744736
97,0,15,2000,greedy,0,4,0,1,2000,past-avg,8,1,1,56.42371017274243,275.8458375713374,11.515567278710968,34.77334024084513,5.864155224836061,74.90180224223619,5.253584035732295,275.8458375713374
98,0,15,2000,greedy,0,4,1,1,2000,past-avg,8,1,1,56.42371017274243,275.8458375713374,11.515567278710968,34.77334024084513,5.864155224836061,74.90180224223619,5.253584035732295,275.8458375713374
99,0,15,2000,greedy,1,4,0,1,2000,past-avg,8,1,1,56.42371017274243,275.8458375713374,11.515567278710968,34.77334024084513,5.864155224836061,74.90180224223619,5.253584035732295,275.8458375713374
100,0,15,2000,greedy,1,4,1,1,2000,past-avg,8,1,1,56.42371017274243,275.8458375713374,11.515567278710968,34.77334024084513,5.864155224836061,74.90180224223619,5.253584035732295,275.8458375713374
101,0,15,2000,nearest,0,4,0,1,2000,past-avg,8,1,1,56.42371017274243,275.8458375713374,11.515567278710968,34.77334024084513,5.864155224836061,74.90180224223619,5.253584035732295,275.8458375713374
102,0,15,2000,nearest,0,4,1,1,2000,past-avg,8,1,1,56.42371017274243,275.8458375713374,11.515567278710968,34.77334024084513,5.864155224836061,74.90180224223619,5.253584035732295,275.8458375713374
103,0,15,2000,nearest,1,4,0,1,2000,past-avg,8,1,1,56.42371017274243,275.8458375713374,11.515567278710968,34.77334024084513,5.864155224836061,74.90180224223619,5.253584035732295,275.8458375713374
104,0,15,2000,nearest,1,4,1,1,2000,past-avg,8,1,1,56.42371017274243,275.8458375713374,11.515567278710968,34.77334024084513,5.864155224836061,74.90180224223619,5.253584035732295,275.8458375713374
105,2,15,3000,greedy,0,4,1,1,2000,past-avg-revisit,8,1,1,121.02370617578049,293.4164022155598,2.5063739407172174,25.555166650132556,22.16569580411469,79.24351559258636,5.894748216987244,293.4164022155598
106,2,15,3000,greedy,1,4,1,1,2000,past-avg-revisit,8,1,1,120.92901452993647,293.4164022155598,2.512356128628087,25.555166650132556,22.132894618241163,79.24351559258636,5.894748216987244,293.4164022155598
107,2,15,3000,nearest,0,4,1,1,2000,past-avg-revisit,8,1,1,121.29960471636727,293.8004702311462,2.4493399141878958,25.555166650132556,22.214444645410644,79.27584009327747,5.883942079100935,293.8004702311462
108,2,15,3000,nearest,1,4,1,1,2000,past-avg-revisit,8,1,1,121.33889308198437,293.8004702311462,2.449818698122826,25.555166650132556,22.225004116357322,79.27584009327747,5.883942079100935,293.8004702311462
109,2,15,2000,greedy,0,4,1,1,2000,random,8,0,0,76.31320216612514,295.1993654564733,73.5865963357211,144.07521161761247,13.456603185092348,79.10082889592951,6.2999783877242255,295.1993654564733
110,2,15,2000,greedy,1,4,1,1,2000,random,8,0,0,76.34271876991323,295.19957415128346,73.6203418081252,144.07521161761247,13.461549266352183,79.10079452187584,6.2999783877242255,295.19957415128346
111,2,15,2000,nearest,0,4,1,1,2000,random,8,0,0,76.41333503198172,296.26683941031746,73.56422689723695,144.07521161761247,13.477668722665433,79.39674223344042,6.360132555291409,296.26683941031746
112,2,15,2000,nearest,1,4,1,1,2000,random,8,0,0,76.41257880028903,296.2688846194569,73.5994497699783,144.07521161761247,13.474353541023007,79.39729651505533,6.360132555291409,296.2688846194569
113,2,15,3000,greedy,0,4,0,1,2000,random,8,0,0,116.64270473835573,299.86621271371564,64.14786896204463,147.3488131108257,20.990551130954916,80.4678291513287,6.563648152150425,299.86621271371564
114,2,15,3000,greedy,1,4,0,1,2000,random,8,0,0,116.63878364316291,299.86621271371564,64.1472700329223,147.3488131108257,20.9890519755911,80.4678291513287,6.563648152150425,299.86621271371564
115,2,15,3000,nearest,0,4,0,1,2000,random,8,0,0,116.57064671583497,300.03475464238136,64.16586099258245,147.3488131108257,20.94217663479251,80.47222903019453,6.557884878611042,300.03475464238136
116,2,15,3000,nearest,1,4,0,1,2000,random,8,0,0,116.57036286047051,300.03475464238136,64.16020379206834,147.3488131108257,20.942154622464912,80.47222903019453,6.557884878611042,300.03475464238136
117,1,15,3000,nearest,0,4,0,1,2000,random,8,0,0,117.17495313080393,300.9740204178654,64.2409094722733,147.3358118910894,21.168959316826147,80.70034814041527,6.533390966068719,300.9740204178654
118,1,15,3000,nearest,1,4,0,1,2000,random,8,0,0,117.17495313080393,300.9740204178654,64.2409094722733,147.3358118910894,21.168959316826147,80.70034814041527,6.533390966068719,300.9740204178654
