series,selectedConfig,algorithm,taxiCount,clientCount,taxiSeatCount,spawnScenario,runIndex,worldSeed,tickBlock,servedRequestsSum,finishedRequestsSum,waitingTimeSum,waitingTimeCount,rows,activeClientsMean,servedRequestsMean,finishedRequestsMean,calcTimeMillisMean,waitingTimeAvg
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,22,13,12,25.116666666666667,13,1,7.0,13.0,12.0,0.002735,1.932051282051282
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,23,4,6,6.933333333333334,4,1,3.0,4.0,6.0,0.002698,1.7333333333333334
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,24,9,7,12.8,9,1,4.0,9.0,7.0,0.002742,1.4222222222222223
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,25,15,11,22.083333333333332,15,1,9.0,15.0,11.0,0.002772,1.472222222222222
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,26,10,10,15.533333333333333,10,1,5.0,10.0,10.0,0.002763,1.5533333333333332
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,27,5,11,7.416666666666667,5,1,4.0,5.0,11.0,0.00297,1.4833333333333334
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,28,10,7,13.15,10,1,5.0,10.0,7.0,0.003008,1.315
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,29,5,6,6.166666666666667,5,1,3.0,5.0,6.0,0.003025,1.2333333333333334
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,30,6,6,8.383333333333333,6,1,3.0,6.0,6.0,0.002791,1.3972222222222221
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,31,8,9,13.916666666666666,8,1,6.0,8.0,9.0,0.002924,1.7395833333333333
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,32,5,6,10.533333333333333,5,1,2.0,5.0,6.0,0.002801,2.1066666666666665
Central,n/a,TaxiAlgorithmSinglePassenger,39,638,1,BASELINE,2,1,33,6,6,9.633333333333333,6,1,3.0,6.0,6.0,0.002757,1.6055555555555554
