algorithm,taxiCount,clientCount,taxiSeatCount,spawnScenario,kHops,p2pRqsRadius,p2pStrategy,p2pOverlayShortcuts,idleRoamingMode,requests,finished,waitMax,completionRatio,waitMean,travelMean
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,2000,greedy,0,past-avg,12758,12758,19.883333333333333,1.0,2.7498876521920885,10.487714897841876
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,2000,greedy,0,past-avg-revisit,12735,12735,43.483333333333334,1.0,3.0185774113335953,10.725711294333202
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,2000,greedy,0,past-avg-total,12760,12760,26.683333333333334,1.0,2.7466078892371995,10.4835723615465
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,2000,greedy,0,random,12760,12760,15.733333333333333,1.0,2.7026449843260187,10.442671107628005
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,2000,greedy,1,none,12738,12738,57.483333333333334,1.0,2.988128696289318,10.696485581200609
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,2000,greedy,1,past-avg,12760,12760,21.6,1.0,2.7528892371995823,10.489130094043887
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,2000,greedy,1,past-avg-revisit,12747,12747,46.85,1.0,3.0037159070108,10.709308072487643
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,2000,greedy,1,past-avg-total,12760,12760,26.683333333333334,1.0,2.7568834900731454,10.493223615464995
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,2000,greedy,1,random,12760,12760,15.733333333333333,1.0,2.708716039707419,10.44864550679206
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,2000,nearest,0,none,12739,12739,46.85,1.0,2.9948321427636913,10.701560823717193
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,2000,nearest,0,past-avg,12758,12758,19.883333333333333,1.0,2.7498876521920885,10.487714897841876
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,2000,nearest,0,past-avg-revisit,12735,12735,43.483333333333334,1.0,3.0185774113335953,10.725711294333202
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,2000,nearest,0,past-avg-total,12760,12760,26.683333333333334,1.0,2.7466078892371995,10.4835723615465
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,2000,nearest,0,random,12760,12760,15.733333333333333,1.0,2.7026449843260187,10.442671107628005
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,2000,nearest,1,none,12738,12738,57.483333333333334,1.0,2.988128696289318,10.696485581200609
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,2000,nearest,1,past-avg,12760,12760,21.6,1.0,2.7528892371995823,10.489130094043887
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,2000,nearest,1,past-avg-revisit,12747,12747,46.85,1.0,3.0037159070108,10.709308072487643
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,2000,nearest,1,past-avg-total,12760,12760,26.683333333333334,1.0,2.7568834900731454,10.493223615464995
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,2000,nearest,1,random,12760,12760,15.733333333333333,1.0,2.708716039707419,10.44864550679206
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,3000,greedy,0,none,12758,12758,27.5,1.0,3.908266708470502,11.653595129853166
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,3000,greedy,0,past-avg,12760,12760,12.733333333333333,1.0,3.8849425287356323,11.631133751306164
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,3000,greedy,0,past-avg-revisit,12760,12760,26.383333333333333,1.0,3.918832288401254,11.662520898641588
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,3000,greedy,0,past-avg-total,12760,12760,11.433333333333334,1.0,3.90258881922675,11.648863636363636
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,3000,greedy,0,random,12760,12760,11.0,1.0,3.8566222570532918,11.602789968652038
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,3000,greedy,1,none,12760,12760,22.25,1.0,3.884908568443051,11.630425809822363
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,3000,greedy,1,past-avg,12760,12760,13.0,1.0,3.889775339602926,11.636060606060607
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,3000,greedy,1,past-avg-revisit,12760,12760,26.166666666666668,1.0,3.907884012539185,11.651873040752351
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,3000,greedy,1,past-avg-total,12760,12760,13.566666666666666,1.0,3.914083072100313,11.66041274817137
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,3000,greedy,1,random,12760,12760,15.683333333333334,1.0,3.879937304075235,11.626136363636364
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,3000,nearest,0,none,12758,12758,27.5,1.0,3.908266708470502,11.653595129853166
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,2,3000,nearest,0,past-avg,12760,12760,12.733333333333333,1.0,3.8849425287356323,11.631133751306164
