metric,algorithm,taxiCount,clientCount,taxiSeatCount,spawnScenario,kHops,p2pRequestRepublishTicks,p2pRqsRadius,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingEnabled,idleRoamingStrategy,idleRoamingMode,runs,avgMean,avgStd,avgMin,avgMax,countMean,countMin,countMax,rawRows,servedRatioMean
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,15,2000,greedy,1,4,0,1,200,True,past-avg-revisit,past-avg-revisit,4,0.0,0.0,0.0,0.0,86920.0,86599,87352,4,136.23824451410658
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,15,2000,greedy,1,4,0,1,200,True,past-avg-total,past-avg-total,4,0.0,0.0,0.0,0.0,86902.25,86527,87276,4,136.21042319749216
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,15,2000,greedy,1,4,0,1,200,True,random,random,4,0.0,0.0,0.0,0.0,86920.0,86599,87352,4,136.23824451410658
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,15,2000,greedy,1,4,1,1,200,False,none,none,4,0.0,0.0,0.0,0.0,86969.0,86600,87428,4,136.31504702194357
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,15,2000,greedy,1,4,1,1,200,True,past-avg,past-avg,4,0.0,0.0,0.0,0.0,86902.75,86527,87257,4,136.21120689655172
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,15,2000,greedy,1,4,1,1,200,True,past-avg-revisit,past-avg-revisit,4,0.0,0.0,0.0,0.0,86984.75,86599,87352,4,136.33973354231975
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,15,2000,greedy,1,4,1,1,200,True,past-avg-total,past-avg-total,4,0.0,0.0,0.0,0.0,86902.25,86527,87276,4,136.21042319749216
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,15,2000,greedy,1,4,1,1,200,True,random,random,4,0.0,0.0,0.0,0.0,86984.75,86599,87352,4,136.33973354231975
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,15,2000,nearest,1,4,0,1,200,False,none,none,4,0.0,0.0,0.0,0.0,86921.25,86600,87241,4,136.24020376175548
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,15,2000,nearest,1,4,0,1,200,True,past-avg,past-avg,4,0.0,0.0,0.0,0.0,86998.0,86527,87257,4,136.36050156739813
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,15,2000,nearest,1,4,0,1,200,True,past-avg-revisit,past-avg-revisit,4,0.0,0.0,0.0,0.0,86920.0,86599,87352,4,136.23824451410658
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,15,2000,nearest,1,4,0,1,200,True,past-avg-total,past-avg-total,4,0.0,0.0,0.0,0.0,86902.25,86527,87276,4,136.21042319749216
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,1,15,2000,nearest,1,4,0,1,200,True,random,random,4,0.0,0.0,0.0,0.0,86920.0,86599,87352,4,136.23824451410658
