variant_k,kHops,spawnScenario,taxiCount,taxiSeatCount,p2pRqsRadius,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,idleRoamingMode,Calculation Time [millis],Client Travel Time [min],Client Waiting Time [min],Simulation Time [millis],Taxi Travel Distance [km]
P2PCollector+greedy (k=0),0,RUSH_HOUR,39,1,3000,1,4,0,none,0.0,690.725,232.7925,0.01,93022.9825
P2PCollector+greedy (k=0),0,RUSH_HOUR,39,1,3000,1,4,0,past-avg,0.0,690.35,232.1575,0.01,97485.7025
P2PCollector+greedy (k=0),0,RUSH_HOUR,39,1,3000,1,4,0,past-avg-revisit,0.0,690.485,232.3275,0.01,101190.19499999999
P2PCollector+greedy (k=0),0,RUSH_HOUR,39,1,3000,1,4,0,past-avg-total,0.0,693.5775,235.4125,0.01,101625.2175
P2PCollector+greedy (k=0),0,RUSH_HOUR,39,1,3000,1,4,0,random,0.0,690.485,232.3275,0.01,101190.19499999999
P2PCollector+greedy (k=0),0,RUSH_HOUR,39,1,3000,1,4,1,none,0.0,690.725,232.7925,0.01,93022.9825
P2PCollector+greedy (k=0),0,RUSH_HOUR,39,1,3000,1,4,1,past-avg,0.0,690.35,232.1575,0.01,97485.7025
P2PCollector+greedy (k=0),0,RUSH_HOUR,39,1,3000,1,4,1,past-avg-revisit,0.0,690.485,232.3275,0.01,101190.19499999999
P2PCollector+greedy (k=0),0,RUSH_HOUR,39,1,3000,1,4,1,past-avg-total,0.0,693.5775,235.4125,0.01,101625.2175
P2PCollector+greedy (k=0),0,RUSH_HOUR,39,1,3000,1,4,1,random,0.0,690.485,232.3275,0.01,101190.19499999999
P2PCollector+greedy (k=0),0,RUSH_HOUR,1685,1,1000,1,4,0,none,2.3449999999999998,3109.4025,1266.395,2.77,241885.825
P2PCollector+greedy (k=0),0,RUSH_HOUR,1685,1,1000,1,4,0,past-avg,3.035,3311.83,1583.81,3.4675000000000002,292509.9925
P2PCollector+greedy (k=0),0,RUSH_HOUR,1685,1,1000,1,4,0,past-avg-revisit,1.37,2439.23,629.605,1.815,485912.0525
P2PCollector+greedy (k=0),0,RUSH_HOUR,1685,1,1000,1,4,0,past-avg-total,2.93,3281.5625,1550.8825,3.37,344370.065
P2PCollector+greedy (k=0),0,RUSH_HOUR,1685,1,1000,1,4,0,random,1.4175,2439.23,629.605,1.8900000000000001,485912.0525
P2PCollector+greedy (k=0),0,RUSH_HOUR,1685,1,1000,1,4,1,none,2.255,3109.4025,1266.395,2.645,241885.825
P2PCollector+greedy (k=0),0,RUSH_HOUR,1685,1,1000,1,4,1,past-avg,3.135,3311.83,1583.81,3.585,292509.9925
P2PCollector+greedy (k=0),0,RUSH_HOUR,1685,1,1000,1,4,1,past-avg-revisit,1.4649999999999999,2439.23,629.605,1.935,485912.0525
P2PCollector+greedy (k=0),0,RUSH_HOUR,1685,1,1000,1,4,1,past-avg-total,3.1075,3281.5625,1550.8825,3.575,344370.065
P2PCollector+greedy (k=0),0,RUSH_HOUR,1685,1,1000,1,4,1,random,1.46,2439.23,629.605,1.9375,485912.0525
P2PCollector+greedy (k=0),0,RUSH_HOUR,1685,1,2000,1,4,0,none,2.12,2610.2275,803.2825,2.545,265813.2275
P2PCollector+greedy (k=0),0,RUSH_HOUR,1685,1,2000,1,4,0,past-avg,2.9825,3129.675,1378.1575,3.435,297057.5425
P2PCollector+greedy (k=0),0,RUSH_HOUR,1685,1,2000,1,4,0,past-avg-revisit,1.28,2511.1225,698.9175,1.74,446679.5425
P2PCollector+greedy (k=0),0,RUSH_HOUR,1685,1,2000,1,4,0,past-avg-total,2.92,3121.2925,1365.2875,3.3850000000000002,349929.6975
P2PCollector+greedy (k=0),0,RUSH_HOUR,1685,1,2000,1,4,0,random,1.26,2511.1225,698.9175,1.71,446679.5425
P2PCollector+greedy (k=0),0,RUSH_HOUR,1685,1,2000,1,4,1,none,2.1425,2610.2275,803.2825,2.5725,265813.2275
P2PCollector+greedy (k=0),0,RUSH_HOUR,1685,1,2000,1,4,1,past-avg,2.945,3129.675,1378.1575,3.4025,297057.5425
P2PCollector+greedy (k=0),0,RUSH_HOUR,1685,1,2000,1,4,1,past-avg-revisit,1.2475,2511.1225,698.9175,1.6949999999999998,446679.5425
P2PCollector+greedy (k=0),0,RUSH_HOUR,1685,1,2000,1,4,1,past-avg-total,2.925,3121.2925,1365.2875,3.3825,349929.6975
P2PCollector+greedy (k=0),0,RUSH_HOUR,1685,1,2000,1,4,1,random,1.315,2511.1225,698.9175,1.775,446679.5425
P2PCollector+greedy (k=0),0,RUSH_HOUR,1685,1,3000,1,4,0,none,1.3125,2681.465,875.6025,1.74,277380.8425
P2PCollector+greedy (k=0),0,RUSH_HOUR,1685,1,3000,1,4,0,past-avg,2.6825,3053.6625,1282.645,3.1525,306646.4325
P2PCollector+greedy (k=0),0,RUSH_HOUR,1685,1,3000,1,4,0,past-avg-revisit,1.2349999999999999,2661.2725,854.0899999999999,1.6824999999999999,447150.155
P2PCollector+greedy (k=0),0,RUSH_HOUR,1685,1,3000,1,4,0,past-avg-total,2.6399999999999997,3057.085,1286.775,3.105,361936.3525
P2PCollector+greedy (k=0),0,RUSH_HOUR,1685,1,3000,1,4,0,random,1.26,2661.2725,854.0899999999999,1.72,447150.155
P2PCollector+greedy (k=0),0,RUSH_HOUR,1685,1,3000,1,4,1,none,1.315,2681.465,875.6025,1.735,277380.8425
