metric,taxiCount,clientCount,taxiSeatCount,spawnScenario,kHops,p2pRequestRepublishTicks,p2pRqsRadius,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingEnabled,idleRoamingStrategy,idleRoamingMode,avgMean,avgStd,countMean,servedRatioMean,runs,communicationTimeMillisMean,singleAvg,singleStd,singleCount,delta,deltaPct
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,nearest,1,4,1,1,2000,True,past-avg-total,past-avg-total,0.0038,0.0012292725943057184,87183.0,,10,0.00020930000000000002,0.003,0.0004714045207910317,87047.0,0.0007999999999999999,26.666666666666668
Calculation Time [millis],39,638,1,BASELINE,0,15,2000,nearest,1,4,1,1,2000,True,random,random,0.0034000000000000002,0.0005163977794943222,87149.2,,10,0.00012869999999999998,0.003,0.0004714045207910317,87047.0,0.0004000000000000002,13.33333333333334
Calculation Time [millis],39,638,1,BASELINE,0,15,3000,greedy,0,4,0,1,2000,False,none,none,0.0032,0.00042163702135578394,87187.7,,10,0.0001782,0.003,0.0004714045207910317,87047.0,0.0002000000000000001,6.66666666666667
Calculation Time [millis],39,638,1,BASELINE,0,15,3000,greedy,0,4,0,1,2000,True,past-avg,past-avg,0.0036000000000000003,0.0005163977794943222,87226.2,,10,0.00021250000000000002,0.003,0.0004714045207910317,87047.0,0.0006000000000000003,20.00000000000001
Calculation Time [millis],39,638,1,BASELINE,0,15,3000,greedy,0,4,0,1,2000,True,past-avg-revisit,past-avg-revisit,0.0033,0.0004830458915396479,87198.2,,10,0.00019219999999999998,0.003,0.0004714045207910317,87047.0,0.0002999999999999999,9.999999999999998
Calculation Time [millis],39,638,1,BASELINE,0,15,3000,greedy,0,4,0,1,2000,True,past-avg-total,past-avg-total,0.0032,0.00042163702135578394,87222.1,,10,0.0002496,0.003,0.0004714045207910317,87047.0,0.0002000000000000001,6.66666666666667
Calculation Time [millis],39,638,1,BASELINE,0,15,3000,greedy,0,4,0,1,2000,True,random,random,0.003,0.0,87215.7,,10,0.0001656,0.003,0.0004714045207910317,87047.0,0.0,0.0
Calculation Time [millis],39,638,1,BASELINE,0,15,3000,greedy,0,4,1,1,2000,False,none,none,0.0032,0.00042163702135578394,87187.7,,10,0.0001668,0.003,0.0004714045207910317,87047.0,0.0002000000000000001,6.66666666666667
Calculation Time [millis],39,638,1,BASELINE,0,15,3000,greedy,0,4,1,1,2000,True,past-avg,past-avg,0.0034000000000000002,0.0005163977794943222,87226.2,,10,0.000188,0.003,0.0004714045207910317,87047.0,0.0004000000000000002,13.33333333333334
Calculation Time [millis],39,638,1,BASELINE,0,15,3000,greedy,0,4,1,1,2000,True,past-avg-revisit,past-avg-revisit,0.0034000000000000002,0.0005163977794943222,87198.2,,10,0.00023960000000000002,0.003,0.0004714045207910317,87047.0,0.0004000000000000002,13.33333333333334
Calculation Time [millis],39,638,1,BASELINE,0,15,3000,greedy,0,4,1,1,2000,True,past-avg-total,past-avg-total,0.0034000000000000002,0.0005163977794943223,87222.1,,10,0.00019089999999999998,0.003,0.0004714045207910317,87047.0,0.0004000000000000002,13.33333333333334
Calculation Time [millis],39,638,1,BASELINE,0,15,3000,greedy,0,4,1,1,2000,True,random,random,0.003,0.0,87215.7,,10,0.0001706,0.003,0.0004714045207910317,87047.0,0.0,0.0
Calculation Time [millis],39,638,1,BASELINE,0,15,3000,greedy,1,4,0,1,2000,False,none,none,0.0032,0.00042163702135578394,87187.7,,10,0.0001696,0.003,0.0004714045207910317,87047.0,0.0002000000000000001,6.66666666666667
Calculation Time [millis],39,638,1,BASELINE,0,15,3000,greedy,1,4,0,1,2000,True,past-avg,past-avg,0.0031,0.00031622776601683794,87226.2,,10,0.0001778,0.003,0.0004714045207910317,87047.0,9.999999999999983e-05,3.3333333333333277
Calculation Time [millis],39,638,1,BASELINE,0,15,3000,greedy,1,4,0,1,2000,True,past-avg-revisit,past-avg-revisit,0.0035000000000000005,0.0005270462766947298,87198.2,,10,0.0002356,0.003,0.0004714045207910317,87047.0,0.0005000000000000004,16.666666666666682
Calculation Time [millis],39,638,1,BASELINE,0,15,3000,greedy,1,4,0,1,2000,True,past-avg-total,past-avg-total,0.0031,0.00031622776601683794,87222.1,,10,0.00019040000000000002,0.003,0.0004714045207910317,87047.0,9.999999999999983e-05,3.3333333333333277
Calculation Time [millis],39,638,1,BASELINE,0,15,3000,greedy,1,4,0,1,2000,True,random,random,0.003,0.0,87215.7,,10,0.0001645,0.003,0.0004714045207910317,87047.0,0.0,0.0
Calculation Time [millis],39,638,1,BASELINE,0,15,3000,greedy,1,4,1,1,2000,False,none,none,0.0031,0.00031622776601683794,87187.7,,10,0.000162,0.003,0.0004714045207910317,87047.0,9.999999999999983e-05,3.3333333333333277
Calculation Time [millis],39,638,1,BASELINE,0,15,3000,greedy,1,4,1,1,2000,True,past-avg,past-avg,0.0032,0.000421637021355784,87226.2,,10,0.00017559999999999999,0.003,0.0004714045207910317,87047.0,0.0002000000000000001,6.66666666666667
Calculation Time [millis],39,638,1,BASELINE,0,15,3000,greedy,1,4,1,1,2000,True,past-avg-revisit,past-avg-revisit,0.0035000000000000005,0.0005270462766947298,87198.2,,10,0.00018319999999999998,0.003,0.0004714045207910317,87047.0,0.0005000000000000004,16.666666666666682
Calculation Time [millis],39,638,1,BASELINE,0,15,3000,greedy,1,4,1,1,2000,True,past-avg-total,past-avg-total,0.0031,0.00031622776601683794,87222.1,,10,0.0001876,0.003,0.0004714045207910317,87047.0,9.999999999999983e-05,3.3333333333333277
Calculation Time [millis],39,638,1,BASELINE,0,15,3000,greedy,1,4,1,1,2000,True,random,random,0.003,0.0,87215.7,,10,0.000173,0.003,0.0004714045207910317,87047.0,0.0,0.0
Calculation Time [millis],39,638,1,BASELINE,0,15,3000,nearest,0,4,0,1,2000,False,none,none,0.0032,0.00042163702135578394,87187.7,,10,0.0001696,0.003,0.0004714045207910317,87047.0,0.0002000000000000001,6.66666666666667
Calculation Time [millis],39,638,1,BASELINE,0,15,3000,nearest,0,4,0,1,2000,True,past-avg,past-avg,0.0032,0.000421637021355784,87226.2,,10,0.000172,0.003,0.0004714045207910317,87047.0,0.0002000000000000001,6.66666666666667
