metric,algorithm,taxiCount,clientCount,taxiSeatCount,spawnScenario,kHops,p2pRequestRepublishTicks,p2pRqsRadius,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingEnabled,idleRoamingStrategy,idleRoamingMode,runs,avgMean,avgStd,avgMin,avgMax,sumMean,sumStd,countMean,countMin,countMax,spreadMean,spreadStd,communicationTimeMillisMean,rawRows,servedRatioMean
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,1,4,1,1,2000,True,past-avg-total,past-avg-total,10,0.0038,0.0007888106377466155,0.003,0.005,337.5,56.91172501729712,87183.0,86734,87913,18.5,27.28145483250074,0.0001341,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,greedy,1,4,1,1,2000,True,random,random,10,0.0033,0.0004830458915396479,0.003,0.004,279.6,25.051946032194785,87149.2,86818,87514,3.8,8.024961059095553,0.00012429999999999999,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,0,4,0,1,2000,False,none,none,10,0.005200000000000001,0.0013165611772087667,0.004,0.008,458.6,113.83340653975196,87147.7,86791,87501,6.1,7.880355321938218,0.0001126,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,0,4,0,1,2000,True,past-avg,past-avg,10,0.0036999999999999997,0.0006749485577105531,0.003,0.005,325.8,50.159301784968605,87237.8,86884,87884,25.8,27.23070162722788,0.00011980000000000001,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,0,4,0,1,2000,True,past-avg-revisit,past-avg-revisit,10,0.0055,0.0017159383568311666,0.003,0.009,472.6,148.68998322385778,87158.1,86764,87592,16.4,21.17755625394226,0.0001127,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,0,4,0,1,2000,True,past-avg-total,past-avg-total,10,0.0039,0.0007378647873726219,0.003,0.005,341.2,57.15048361805679,87183.0,86734,87913,11.0,22.691163233490013,0.0001407,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,0,4,0,1,2000,True,random,random,10,0.0031,0.00031622776601683794,0.003,0.004,284.9,22.951397924019062,87149.2,86818,87514,1.5,4.743416490252569,0.0001252,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,0,4,1,1,2000,False,none,none,10,0.0053,0.0014181364924121765,0.004,0.008,457.8,125.45100858723916,87147.7,86791,87501,7.2,9.366607354497857,0.0001114,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,0,4,1,1,2000,True,past-avg,past-avg,10,0.0036000000000000003,0.0005163977794943222,0.003,0.004,322.5,36.57032798443143,87237.8,86884,87884,16.0,25.32455988429677,0.0001251,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,0,4,1,1,2000,True,past-avg-revisit,past-avg-revisit,10,0.0056,0.0017126976771553505,0.004,0.009,479.9,155.11748235880228,87158.1,86764,87592,20.4,21.510720841271475,0.0001137,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,0,4,1,1,2000,True,past-avg-total,past-avg-total,10,0.0039,0.0007378647873726219,0.003,0.005,344.9,53.6644927095913,87183.0,86734,87913,20.3,26.221492456888615,0.00013749999999999998,10,
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,0,4,1,1,2000,True,random,random,10,0.0031,0.00031622776601683794,0.003,0.004,279.4,24.226707026200103,87149.2,86818,87514,1.7,5.375872022286244,0.0001268,10,
