taxiCount,clientCount,taxiSeatCount,spawnScenario,p2pRqsRadius,idleRoamingMode,waitingAvgMean,servedRatio,centralWaitingAvgMean,waitingDeltaPct
39,638,1,RUSH_HOUR,3000,past-avg,3.9235352777777774,0.9998432601880878,1.9210166666666666,104.24264639962058
39,638,1,RUSH_HOUR,3000,past-avg-revisit,3.9136222222222226,0.9998955067920585,1.9210166666666666,103.72661466873735
39,638,1,RUSH_HOUR,3000,past-avg-total,3.916692777777778,0.9998955067920585,1.9210166666666666,103.88645479968655
39,638,1,RUSH_HOUR,3000,random,3.8904708333333335,1.0,1.9210166666666666,102.52145131484198
39,638,1,SPATIAL_IMBALANCE,1000,none,21.990897916666665,0.6998171368861024,3.289476666666667,568.5226905394271
39,638,1,SPATIAL_IMBALANCE,1000,past-avg,1.9822709722222223,0.9979623824451411,3.289476666666667,-39.73901708106896
39,638,1,SPATIAL_IMBALANCE,1000,past-avg-revisit,21.69336277777778,0.7024686520376177,3.289476666666667,559.4776305180594
39,638,1,SPATIAL_IMBALANCE,1000,past-avg-total,1.9786433333333333,0.9980276907001046,3.289476666666667,-39.84929720330387
39,638,1,SPATIAL_IMBALANCE,1000,random,2.30466625,0.9992032392894462,3.289476666666667,-29.93820952269004
39,638,1,SPATIAL_IMBALANCE,2000,none,9.367325555555555,0.9566353187042842,3.289476666666667,184.7664387006511
39,638,1,SPATIAL_IMBALANCE,2000,past-avg,2.712753888888889,0.9998955067920585,3.289476666666667,-17.532356548441175
39,638,1,SPATIAL_IMBALANCE,2000,past-avg-revisit,8.466509166666667,0.9656870428422152,3.289476666666667,157.38164530730825
39,638,1,SPATIAL_IMBALANCE,2000,past-avg-total,2.7194405555555554,0.9999738766980147,3.289476666666667,-17.32908206607672
39,638,1,SPATIAL_IMBALANCE,2000,random,2.99106625,1.0,3.289476666666667,-9.071668441687287
39,638,1,SPATIAL_IMBALANCE,3000,none,4.215697222222222,1.0,3.289476666666667,28.157079359803603
39,638,1,SPATIAL_IMBALANCE,3000,past-avg,4.149200555555556,1.0,3.289476666666667,26.135582525960732
39,638,1,SPATIAL_IMBALANCE,3000,past-avg-revisit,4.199615555555556,1.0,3.289476666666667,27.668197136390148
39,638,1,SPATIAL_IMBALANCE,3000,past-avg-total,4.158418055555556,1.0,3.289476666666667,26.415794271902083
39,638,1,SPATIAL_IMBALANCE,3000,random,4.224348055555556,1.0,3.289476666666667,28.420064454697112
39,638,1,SPATIAL_ISLANDS,1000,none,28.021929305555556,0.5917450365726228,3.6515883333333337,667.3901532042601
39,638,1,SPATIAL_ISLANDS,1000,past-avg,2.2048495833333335,0.9973876698014629,3.6515883333333337,-39.61943729509487
39,638,1,SPATIAL_ISLANDS,1000,past-avg-revisit,27.78461916666667,0.5949190177638454,3.6515883333333337,660.8913335886256
39,638,1,SPATIAL_ISLANDS,1000,past-avg-total,2.211471527777778,0.997257053291536,3.6515883333333337,-39.43809307334906
39,638,1,SPATIAL_ISLANDS,1000,random,2.490567222222222,0.9986546499477534,3.6515883333333337,-31.79496167497281
39,638,1,SPATIAL_ISLANDS,2000,none,13.188165277777777,0.909757053291536,3.6515883333333337,261.1624332729486
39,638,1,SPATIAL_ISLANDS,2000,past-avg,2.831714444444444,1.0,3.6515883333333337,-22.452527887788264
39,638,1,SPATIAL_ISLANDS,2000,past-avg-revisit,12.28682,0.9207288401253919,3.6515883333333337,236.47878343351044
39,638,1,SPATIAL_ISLANDS,2000,past-avg-total,2.831674027777778,1.0,3.6515883333333337,-22.453634712078873
39,638,1,SPATIAL_ISLANDS,2000,random,3.025326388888889,1.0,3.6515883333333337,-17.150398327424952
39,638,1,SPATIAL_ISLANDS,3000,none,5.127159583333333,0.995350052246604,3.6515883333333337,40.40902520501353
39,638,1,SPATIAL_ISLANDS,3000,past-avg,3.8655813888888892,1.0,3.6515883333333337,5.860273284426154
39,638,1,SPATIAL_ISLANDS,3000,past-avg-revisit,4.517223194444445,0.997675026123302,3.6515883333333337,23.70570782059984
39,638,1,SPATIAL_ISLANDS,3000,past-avg-total,3.850756944444445,1.0,3.6515883333333337,5.45430078448359
39,638,1,SPATIAL_ISLANDS,3000,random,4.000728055555555,1.0,3.6515883333333337,9.561311143293949
1685,27762,1,BASELINE,1000,none,3.5310179861111113,0.9991559205628797,1.31656,168.20030884358567
1685,27762,1,BASELINE,1000,past-avg,8.266332013888888,0.9968600665177821,1.31656,527.8735503044973
1685,27762,1,BASELINE,1000,past-avg-revisit,3.456609097222222,0.9992537761448502,1.31656,162.54854296213028
1685,27762,1,BASELINE,1000,past-avg-total,8.255080416666667,0.9968273479336264,1.31656,527.0189293816208
1685,27762,1,BASELINE,1000,random,1.4414766666666665,0.9999957976130442,1.31656,9.488110429199326
1685,27762,1,BASELINE,2000,none,2.836136597222222,0.999990394544101,1.31656,115.42023130143875
1685,27762,1,BASELINE,2000,past-avg,3.8605053472222224,0.9997706697404126,1.31656,193.2266928375632
1685,27762,1,BASELINE,2000,past-avg-revisit,2.8528515277777777,0.9999825901111832,1.31656,116.68982255102524
1685,27762,1,BASELINE,2000,past-avg-total,3.862895902777778,0.9997898806522104,1.31656,193.40826872894348
