rank,kHops,p2pRequestRepublishTicks,p2pRqsRadius,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingMode,groups,groupsWithin5,groupsWithin5WithTravel,meanWaitingDeltaPct,worstWaitingDeltaPct,meanDistanceDeltaPct,worstDistanceDeltaPct,meanTravelDeltaPct,worstTravelDeltaPct,worstPickupGapPoints,worstReferenceNormalizedRegret
68,2,15,3000,nearest,0,4,1,1,2000,past-avg-total,8,1,1,48.52693935682118,229.42251017803974,15.902284062427023,36.44585331888705,1.6557697029627336,23.126183901547325,0.4758302715942575,45.88450203560795
69,2,15,3000,nearest,0,4,1,1,2000,past-avg-revisit,8,1,1,114.65638840057977,264.4296669968219,3.033975125061322,25.54954810640848,20.288204866042925,71.02915229115101,5.041423528564215,52.885933399364376
70,2,15,3000,nearest,1,4,1,1,2000,past-avg-revisit,8,1,1,114.69721648503119,264.4296669968219,3.036276217918171,25.54954810640848,20.300918903123325,71.02915229115101,5.041423528564215,52.885933399364376
71,2,15,3000,greedy,0,4,1,1,2000,past-avg-revisit,8,1,1,114.79676473785446,264.7901246728883,3.046019647069767,25.54954810640848,20.340653859454974,71.05226884222347,5.021972480368852,52.95802493457766
72,2,15,3000,greedy,1,4,1,1,2000,past-avg-revisit,8,1,1,114.7967829289151,264.7901246728883,3.05249766610588,25.54954810640848,20.339205524332264,71.05226884222347,5.021972480368852,52.95802493457766
73,2,15,2000,greedy,1,4,0,1,2000,past-avg-total,8,1,1,55.332606216371886,268.269012054641,11.738548058453254,35.01538026763544,5.593610122979516,72.80177140000465,5.091131762841295,53.6538024109282
74,2,15,2000,greedy,0,4,0,1,2000,past-avg-total,8,1,1,55.34908189783594,268.41059257218217,11.717340107848042,34.97430435189423,5.589350783801685,72.81428800678648,5.077804192781499,53.68211851443643
75,2,15,2000,nearest,0,4,0,1,2000,past-avg-total,8,1,1,55.30554864818433,268.62116042503635,11.695577940650681,34.96308008409259,5.596315056663547,72.90471927901963,5.123550176500258,53.72423208500727
76,2,15,2000,nearest,1,4,0,1,2000,past-avg-total,8,1,1,55.38186444858121,268.9116578845018,11.7124851652909,35.04168941992643,5.618341560036502,72.99540408990659,5.156688999351622,53.782331576900354
77,2,15,2000,greedy,0,4,0,1,2000,past-avg,8,1,1,55.99119331353927,271.45522003036626,11.382917992178408,34.554361352406836,5.694508892157906,73.70666576983584,5.150925725812261,54.29104400607325
78,2,15,2000,nearest,1,4,0,1,2000,past-avg,8,1,1,55.97097683620875,272.1345706604256,11.297585363811706,34.4426158483883,5.710414798339222,73.8804366890119,5.1728982061811095,54.426914132085116
79,1,15,2000,greedy,1,4,0,1,2000,past-avg-total,8,1,1,55.80407750315143,272.17383810654485,11.756847869574399,34.95697010292189,5.744401415544113,73.88447093641668,5.169296160218995,54.43476762130897
80,1,15,2000,greedy,0,4,0,1,2000,past-avg-total,8,1,1,55.781113902427805,272.21260663044944,11.772035405293174,35.05907124678962,5.748211340462811,73.89364307007273,5.163532886679634,54.44252132608989
81,2,15,2000,greedy,1,4,0,1,2000,past-avg,8,1,1,55.952804267268874,272.4413057701488,11.322844512565977,34.59028333327472,5.726832589030449,73.99947308702104,5.195591095742391,54.48826115402976
82,2,15,2000,nearest,0,4,0,1,2000,past-avg,8,1,1,56.07114058026295,272.4428478933576,11.358706232279816,34.52780570774108,5.732165449298172,73.96942502802348,5.176500252143212,54.48856957867152
83,1,15,2000,nearest,1,4,0,1,2000,past-avg-total,8,1,1,55.893497014404716,273.16928997699296,11.755607973707892,35.09344256993645,5.771182192474578,74.13959047840062,5.1952308911461635,54.63385799539859
84,1,15,2000,nearest,0,4,0,1,2000,past-avg-total,8,1,1,55.93635047072088,273.26357493641575,11.752963406857093,35.08269172459124,5.772947310311924,74.16170054042513,5.201354369281752,54.65271498728315
85,1,15,2000,nearest,1,4,0,1,2000,past-avg,8,1,1,56.197050866709006,274.3315519542443,11.558799663506338,34.733952891381236,5.821823806475322,74.48260217756895,5.231611555363447,54.86631039084885
86,1,15,2000,nearest,0,4,0,1,2000,past-avg,8,1,1,56.19606477274715,274.5584028139213,11.56435705625834,34.80336091747085,5.8309602942685945,74.54748943042095,5.230530941574807,54.91168056278426
87,1,15,2000,greedy,1,4,0,1,2000,past-avg,8,1,1,56.26652352879864,274.8025798814153,11.562194875016825,34.75403936424275,5.825826918425143,74.5900242681234,5.222606440458188,54.960515976283055
88,1,15,3000,greedy,0,4,1,1,2000,random,8,0,0,108.73310806411558,274.9683792580176,63.805173191202094,147.38155769651092,18.644011370813782,73.64954655467145,5.669980548951803,54.99367585160352
89,1,15,3000,greedy,1,4,1,1,2000,random,8,0,0,108.72973173176635,274.9683792580176,63.80989464838424,147.38155769651092,18.642735235084846,73.64954655467145,5.669980548951803,54.99367585160352
90,1,15,2000,greedy,0,4,0,1,2000,past-avg,8,1,1,56.274188687058285,275.17663547268916,11.566289605164148,34.823490292722916,5.836211978274552,74.70324419113119,5.232692169152076,55.035327094537834
91,1,15,3000,nearest,0,4,1,1,2000,random,8,0,0,108.71847122508548,275.5537403744736,63.81442130564205,147.38155769651092,18.62820165586664,73.7562049463576,5.649088682371584,55.110748074894715
