variant_k,kHops,spawnScenario,taxiCount,taxiSeatCount,p2pRqsRadius,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,idleRoamingMode,Calculation Time [millis],Client Travel Time [min],Client Waiting Time [min],Simulation Time [millis],Taxi Travel Distance [km]
P2PCollector+nearest (k=0),0,SPATIAL_ISLANDS,60,1,2000,1,4,1,return-to-hq,0.01,296.755,1.225,0.0175,107.815
P2PCollector+nearest (k=0),0,SPATIAL_ISLANDS,550,1,1000,1,4,0,none,11.16,4742.2675,64.27250000000001,11.2975,30.0725
P2PCollector+nearest (k=0),0,SPATIAL_ISLANDS,550,1,1000,1,4,0,page-rank,0.7025,409.9475,1.2525,0.7949999999999999,149.5825
P2PCollector+nearest (k=0),0,SPATIAL_ISLANDS,550,1,1000,1,4,0,return-to-hq,1.0675000000000001,524.1075,3.185,1.1624999999999999,121.91
P2PCollector+nearest (k=0),0,SPATIAL_ISLANDS,550,1,1000,1,4,1,none,11.442499999999999,4742.2675,64.27250000000001,11.575,30.0725
P2PCollector+nearest (k=0),0,SPATIAL_ISLANDS,550,1,1000,1,4,1,page-rank,0.7,409.9475,1.2525,0.79,149.5825
P2PCollector+nearest (k=0),0,SPATIAL_ISLANDS,550,1,1000,1,4,1,return-to-hq,1.085,524.1075,3.185,1.18,121.91
P2PCollector+nearest (k=0),0,SPATIAL_ISLANDS,550,1,2000,1,4,0,none,8.7375,3672.2375,43.3675,8.8625,51.045
P2PCollector+nearest (k=0),0,SPATIAL_ISLANDS,550,1,2000,1,4,0,page-rank,0.15,402.1775,1.09,0.2225,140.8075
P2PCollector+nearest (k=0),0,SPATIAL_ISLANDS,550,1,2000,1,4,0,return-to-hq,0.4325,400.77,1.0750000000000002,0.5125,127.505
P2PCollector+nearest (k=0),0,SPATIAL_ISLANDS,550,1,2000,1,4,1,none,8.7875,3672.2375,43.3675,8.91,51.045
P2PCollector+nearest (k=0),0,SPATIAL_ISLANDS,550,1,2000,1,4,1,page-rank,0.15,402.1775,1.09,0.225,140.8075
P2PCollector+nearest (k=0),0,SPATIAL_ISLANDS,550,1,2000,1,4,1,return-to-hq,0.4325,400.77,1.0750000000000002,0.5125,127.505
P2PCollector+nearest (k=1),1,BASELINE,60,1,1000,1,4,0,none,0.0425,754.0699999999999,7.795,0.052500000000000005,70.8275
P2PCollector+nearest (k=1),1,BASELINE,60,1,1000,1,4,0,page-rank,0.025,345.85,1.9075,0.03,132.3475
P2PCollector+nearest (k=1),1,BASELINE,60,1,1000,1,4,0,return-to-hq,0.01,288.65749999999997,0.935,0.02,369.62
P2PCollector+nearest (k=1),1,BASELINE,60,1,1000,1,4,1,none,0.0375,761.1575,7.977499999999999,0.045,70.8425
P2PCollector+nearest (k=1),1,BASELINE,60,1,1000,1,4,1,page-rank,0.025,345.85,1.9075,0.0325,132.3475
P2PCollector+nearest (k=1),1,BASELINE,60,1,1000,1,4,1,return-to-hq,0.0125,288.6225,0.935,0.0225,373.155
P2PCollector+nearest (k=1),1,BASELINE,60,1,2000,1,4,0,none,0.015000000000000001,328.8375,1.5975,0.0175,86.625
P2PCollector+nearest (k=1),1,BASELINE,60,1,2000,1,4,0,page-rank,0.01,302.36,1.15,0.01,112.67
P2PCollector+nearest (k=1),1,BASELINE,60,1,2000,1,4,0,return-to-hq,0.0025,297.0825,1.0575,0.01,127.80250000000001
P2PCollector+nearest (k=1),1,BASELINE,60,1,2000,1,4,1,none,0.0175,330.2875,1.6225,0.0175,86.6525
P2PCollector+nearest (k=1),1,BASELINE,60,1,2000,1,4,1,page-rank,0.01,302.36,1.15,0.0125,112.67
P2PCollector+nearest (k=1),1,BASELINE,60,1,2000,1,4,1,return-to-hq,0.01,297.0175,1.0575,0.01,137.3875
P2PCollector+nearest (k=1),1,BASELINE,550,1,1000,1,4,0,none,0.3975,403.9325,0.89,0.475,92.37
P2PCollector+nearest (k=1),1,BASELINE,550,1,1000,1,4,0,page-rank,0.475,387.58,0.605,0.5525,153.5525
P2PCollector+nearest (k=1),1,BASELINE,550,1,1000,1,4,0,return-to-hq,0.2125,382.745,0.52,0.2925,235.1325
P2PCollector+nearest (k=1),1,BASELINE,550,1,1000,1,4,1,none,0.4425,403.5825,0.8825,0.515,92.3975
P2PCollector+nearest (k=1),1,BASELINE,550,1,1000,1,4,1,page-rank,0.5225,387.195,0.6,0.6025,153.025
P2PCollector+nearest (k=1),1,BASELINE,550,1,1000,1,4,1,return-to-hq,0.265,382.5625,0.52,0.34,237.225
P2PCollector+nearest (k=1),1,BASELINE,550,1,2000,1,4,0,none,0.41000000000000003,413.7475,1.0375,0.48,99.905
P2PCollector+nearest (k=1),1,BASELINE,550,1,2000,1,4,0,page-rank,0.4525,412.7225,1.02,0.5225,126.5925
P2PCollector+nearest (k=1),1,BASELINE,550,1,2000,1,4,0,return-to-hq,0.4025,412.2825,1.0150000000000001,0.48,232.325
P2PCollector+nearest (k=1),1,BASELINE,550,1,2000,1,4,1,none,0.6074999999999999,413.77750000000003,1.04,0.675,99.92
P2PCollector+nearest (k=1),1,BASELINE,550,1,2000,1,4,1,page-rank,0.6625000000000001,412.6975,1.02,0.735,126.5175
P2PCollector+nearest (k=1),1,BASELINE,550,1,2000,1,4,1,return-to-hq,0.5925,412.29,1.01,0.665,232.8225
P2PCollector+nearest (k=1),1,RUSH_HOUR,60,1,1000,1,4,0,none,0.0375,675.985,6.6175,0.0475,73.49
P2PCollector+nearest (k=1),1,RUSH_HOUR,60,1,1000,1,4,0,page-rank,0.0275,440.9475,3.435,0.035,120.195
P2PCollector+nearest (k=1),1,RUSH_HOUR,60,1,1000,1,4,0,return-to-hq,0.095,1653.62,20.665,0.10500000000000001,68.9525
P2PCollector+nearest (k=1),1,RUSH_HOUR,60,1,1000,1,4,1,none,0.035,674.8575000000001,6.6525,0.0425,73.6325
P2PCollector+nearest (k=1),1,RUSH_HOUR,60,1,1000,1,4,1,page-rank,0.0275,442.93,3.4325,0.035,120.235
P2PCollector+nearest (k=1),1,RUSH_HOUR,60,1,1000,1,4,1,return-to-hq,0.0875,1642.0525,20.355,0.0975,69.4975
P2PCollector+nearest (k=1),1,RUSH_HOUR,60,1,2000,1,4,0,none,0.01,329.385,1.5425,0.015,87.8925
P2PCollector+nearest (k=1),1,RUSH_HOUR,60,1,2000,1,4,0,page-rank,0.01,311.8025,1.2349999999999999,0.01,115.55
P2PCollector+nearest (k=1),1,RUSH_HOUR,60,1,2000,1,4,0,return-to-hq,0.045,785.2275,8.765,0.052500000000000005,93.3775
P2PCollector+nearest (k=1),1,RUSH_HOUR,60,1,2000,1,4,1,none,0.01,335.37,1.645,0.0175,87.94749999999999
P2PCollector+nearest (k=1),1,RUSH_HOUR,60,1,2000,1,4,1,page-rank,0.01,312.2175,1.2425,0.0125,115.845
P2PCollector+nearest (k=1),1,RUSH_HOUR,60,1,2000,1,4,1,return-to-hq,0.05,769.3225,8.44,0.057499999999999996,94.4025
P2PCollector+nearest (k=1),1,RUSH_HOUR,550,1,1000,1,4,0,none,0.3825,411.90749999999997,1.0250000000000001,0.4525,92.195
P2PCollector+nearest (k=1),1,RUSH_HOUR,550,1,1000,1,4,0,page-rank,0.61,410.7,1.01,0.69,142.675
P2PCollector+nearest (k=1),1,RUSH_HOUR,550,1,1000,1,4,0,return-to-hq,6.505,2391.1675,33.135,6.62,80.39
P2PCollector+nearest (k=1),1,RUSH_HOUR,550,1,1000,1,4,1,none,0.4075,410.57,1.0075,0.475,92.2475
P2PCollector+nearest (k=1),1,RUSH_HOUR,550,1,1000,1,4,1,page-rank,0.6675,409.1325,0.9850000000000001,0.7475,142.8325
P2PCollector+nearest (k=1),1,RUSH_HOUR,550,1,1000,1,4,1,return-to-hq,5.4425,2154.75,29.4325,5.55,84.295
P2PCollector+nearest (k=1),1,RUSH_HOUR,550,1,2000,1,4,0,none,0.3925,413.37,1.0375,0.4575,99.785
P2PCollector+nearest (k=1),1,RUSH_HOUR,550,1,2000,1,4,0,page-rank,0.43,412.725,1.0275,0.5,123.545
P2PCollector+nearest (k=1),1,RUSH_HOUR,550,1,2000,1,4,0,return-to-hq,3.6875,1314.975,15.9025,3.7825,100.5925
P2PCollector+nearest (k=1),1,RUSH_HOUR,550,1,2000,1,4,1,none,0.57,413.1175,1.0325,0.6375,99.755
P2PCollector+nearest (k=1),1,RUSH_HOUR,550,1,2000,1,4,1,page-rank,0.625,413.0575,1.0325,0.695,123.5675
P2PCollector+nearest (k=1),1,RUSH_HOUR,550,1,2000,1,4,1,return-to-hq,3.7975,1135.3400000000001,12.9175,3.895,103.9625
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,60,1,1000,1,4,0,none,0.1475,2212.73,30.247500000000002,0.155,35.85
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,60,1,1000,1,4,0,page-rank,0.02,276.0475,1.2349999999999999,0.025,116.92750000000001
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,60,1,1000,1,4,0,return-to-hq,0.052500000000000005,718.0525,8.1075,0.055,91.0575
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,60,1,1000,1,4,1,none,0.1275,2203.295,30.135,0.135,36.17
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,60,1,1000,1,4,1,page-rank,0.02,276.0475,1.2349999999999999,0.03,116.92750000000001
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,60,1,1000,1,4,1,return-to-hq,0.05,718.0525,8.1075,0.06,91.0575
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,60,1,2000,1,4,0,none,0.052500000000000005,1212.905,16.36,0.06,64.615
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,60,1,2000,1,4,0,page-rank,0.0075,267.53000000000003,1.085,0.01,105.555
P2PCollector+nearest (k=1),1,SPATIAL_IMBALANCE,60,1,2000,1,4,0,return-to-hq,0.04,375.25,2.88,0.045,107.1275
