algorithm,kHops,p2pRqsRadius,taxiCount,clientCount,taxiSeatCount,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,idleRoamingEnabled,idleRoamingStrategy,idleRoamingMode,spawnScenario,metric,runs,avgOfAvg,stdDevOfAvg,minAvg,maxAvg,avgSpread,minSpread,maxSpread
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,true,return-to-hq,return-to-hq,RUSH_HOUR,Client Travel Time [min],4,2429.3224999999998,56.051331105960365,2374.22,2512.04,12896.0,12274.0,13421.0
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,true,return-to-hq,return-to-hq,RUSH_HOUR,Calculation Time [millis],4,5.665000000000001,0.14517231140957954,5.49,5.89,43.25,41.0,46.0
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,true,return-to-hq,return-to-hq,RUSH_HOUR,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,true,return-to-hq,return-to-hq,RUSH_HOUR,Simulation Time [millis],4,5.785,0.14517231140957954,5.61,6.01,43.25,41.0,46.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_IMBALANCE,Taxi Travel Distance [km],4,90.8,1.3635431786342498,88.48,91.99,703.5274999999999,695.72,713.41
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_IMBALANCE,Client Waiting Time [min],4,8.219999999999999,0.6013734280794258,7.55,9.14,80.3075,63.42,96.57
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_IMBALANCE,Client Travel Time [min],4,724.6850000000001,43.57691160465595,679.72,775.68,6787.5,5329.0,8948.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_IMBALANCE,Calculation Time [millis],4,0.05,0.0,0.05,0.05,3.0,2.0,4.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_IMBALANCE,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_IMBALANCE,Simulation Time [millis],4,0.057499999999999996,0.0043301270189221915,0.05,0.06,3.25,2.0,4.0
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_IMBALANCE,Taxi Travel Distance [km],4,109.935,0.5021205034650553,109.45,110.64,811.6325,806.6800000000001,816.1700000000001
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_IMBALANCE,Client Waiting Time [min],4,3.4025,0.08785641695402802,3.28,3.5,73.19500000000001,50.019999999999996,103.99
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_IMBALANCE,Client Travel Time [min],4,499.02250000000004,5.486822281612557,491.23,506.72,8583.5,3987.0,14273.0
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_IMBALANCE,Calculation Time [millis],4,1.1125,0.04866980583482941,1.04,1.17,6.25,6.0,7.0
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_IMBALANCE,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_IMBALANCE,Simulation Time [millis],4,1.205,0.0567890834580027,1.12,1.27,6.25,6.0,7.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_ISLANDS,Taxi Travel Distance [km],4,101.1875,1.6931091961240978,98.29,102.45,471.4975,462.71000000000004,481.59
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_ISLANDS,Client Waiting Time [min],4,3.4799999999999995,0.36311155310730603,3.04,4.05,102.1,71.07,143.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_ISLANDS,Client Travel Time [min],4,449.48249999999996,29.809456029085815,407.15,480.72,6189.5,4314.0,8576.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_ISLANDS,Calculation Time [millis],4,0.035,0.005000000000000001,0.03,0.04,3.0,2.0,4.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_ISLANDS,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_ISLANDS,Simulation Time [millis],4,0.04,0.0,0.04,0.04,3.0,2.0,4.0
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_ISLANDS,Taxi Travel Distance [km],4,121.91000000000001,0.5973692325521972,121.3,122.89,807.65,800.13,813.54
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_ISLANDS,Client Waiting Time [min],4,3.185,0.19358460682605938,2.85,3.31,70.1625,53.839999999999996,113.2
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_ISLANDS,Client Travel Time [min],4,524.1075,11.849059825572654,503.75,532.89,9193.25,8152.0,10812.0
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_ISLANDS,Calculation Time [millis],4,1.0675,0.025860201081971526,1.03,1.1,5.75,5.0,8.0
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_ISLANDS,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,1000,550,6000,1,nearest,1,4,0,true,return-to-hq,return-to-hq,SPATIAL_ISLANDS,Simulation Time [millis],4,1.1624999999999999,0.021650635094610987,1.13,1.19,6.0,5.0,8.0
TaxiAlgorithmP2PCollector,0,1000,60,800,1,nearest,1,4,0,true,page-rank,page-rank,BASELINE,Taxi Travel Distance [km],4,132.34749999999997,1.562023927473581,131.27,135.04,328.04999999999995,287.57,361.39
