algorithm,kHops,p2pRequestRepublishTicks,p2pRqsRadius,taxiCount,clientCount,taxiSeatCount,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingEnabled,idleRoamingStrategy,idleRoamingMode,spawnScenario,metric,runs,avgOfAvg,stdDevOfAvg,minAvg,maxAvg,avgSpread,minSpread,maxSpread
TaxiAlgorithmP2PCollector,0,12,2000,60,800,1,nearest,1,4,0,1,50,true,past-avg,past-avg,BASELINE,Client Waiting Time [min],1,1.17,0.0,1.17,1.17,15.65,15.65,15.65
TaxiAlgorithmP2PCollector,0,12,2000,60,800,1,nearest,1,4,0,1,50,true,past-avg,past-avg,BASELINE,Client Travel Time [min],1,306.81,0.0,306.81,306.81,946.0,946.0,946.0
TaxiAlgorithmP2PCollector,0,12,2000,60,800,1,nearest,1,4,0,1,50,true,past-avg,past-avg,BASELINE,Calculation Time [millis],1,0.01,0.0,0.01,0.01,16.0,16.0,16.0
TaxiAlgorithmP2PCollector,0,12,2000,60,800,1,nearest,1,4,0,1,50,true,past-avg,past-avg,BASELINE,Custom Time [micros],1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,12,2000,60,800,1,nearest,1,4,0,1,50,true,past-avg,past-avg,BASELINE,Simulation Time [millis],1,0.01,0.0,0.01,0.01,16.0,16.0,16.0
TaxiAlgorithmP2PCollector,0,12,2000,600,8000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,BASELINE,Taxi Travel Distance [km],1,101.03,0.0,101.03,101.03,767.28,767.28,767.28
TaxiAlgorithmP2PCollector,0,12,2000,600,8000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,BASELINE,Client Waiting Time [min],1,1.01,0.0,1.01,1.01,1.52,1.52,1.52
TaxiAlgorithmP2PCollector,0,12,2000,600,8000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,BASELINE,Client Travel Time [min],1,295.42,0.0,295.42,295.42,625.0,625.0,625.0
TaxiAlgorithmP2PCollector,0,12,2000,600,8000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,BASELINE,Calculation Time [millis],1,0.18,0.0,0.18,0.18,22.0,22.0,22.0
TaxiAlgorithmP2PCollector,0,12,2000,600,8000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,BASELINE,Custom Time [micros],1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,12,2000,600,8000,1,nearest,1,4,0,1,50,true,past-avg,past-avg,BASELINE,Simulation Time [millis],1,0.27,0.0,0.27,0.27,22.0,22.0,22.0
