variant_k,kHops,spawnScenario,taxiCount,taxiSeatCount,p2pRqsRadius,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,idleRoamingMode,Calculation Time [millis],Client Travel Time [min],Client Waiting Time [min],Taxi Travel Distance [km]
P2PCollector+greedy (k=5),5,SPATIAL_IMBALANCE,10,1,5000,1,4,1,n/a,0.0355,2926.57,22.546,115.52450000000002
P2PCollector+greedy (k=5),5,SPATIAL_IMBALANCE,10,1,10000,1,4,1,n/a,0.0495,1888.887,16.8975,123.7645
P2PCollector+greedy (k=5),5,SPATIAL_IMBALANCE,10,1,20000,1,4,1,n/a,0.0925,2084.675,21.82,125.27149999999999
P2PCollector+greedy (k=5),5,SPATIAL_IMBALANCE,20,1,1000,1,4,1,n/a,0.0635,9880.127499999999,50.6745,61.7025
P2PCollector+greedy (k=5),5,SPATIAL_IMBALANCE,20,1,5000,1,4,1,n/a,0.11599999999999999,2281.67,16.9055,116.752
P2PCollector+greedy (k=5),5,SPATIAL_IMBALANCE,20,1,10000,1,4,1,n/a,0.22999999999999998,1698.4575,15.2085,120.3905
P2PCollector+greedy (k=5),5,SPATIAL_IMBALANCE,20,1,20000,1,4,1,n/a,0.39049999999999996,1926.9479999999999,19.203,124.1385
P2PCollector+greedy (k=5),5,SPATIAL_ISLANDS,5,1,1000,1,4,1,n/a,0.01,12812.788,42.472,46.307
P2PCollector+greedy (k=5),5,SPATIAL_ISLANDS,5,1,5000,1,4,1,n/a,0.011,3796.072,33.802,133.908
P2PCollector+greedy (k=5),5,SPATIAL_ISLANDS,5,1,10000,1,4,1,n/a,0.018,2667.388,27.119999999999997,154.416
P2PCollector+greedy (k=5),5,SPATIAL_ISLANDS,5,1,20000,1,4,1,n/a,0.026000000000000002,2425.308,26.337,162.07
P2PCollector+greedy (k=5),5,SPATIAL_ISLANDS,10,1,1000,1,4,1,n/a,0.0205,10087.604000000001,43.3395,54.405499999999996
P2PCollector+greedy (k=5),5,SPATIAL_ISLANDS,10,1,5000,1,4,1,n/a,0.0395,2681.7509999999997,21.669999999999998,108.8545
P2PCollector+greedy (k=5),5,SPATIAL_ISLANDS,10,1,10000,1,4,1,n/a,0.052000000000000005,2040.652,19.9115,123.38899999999998
P2PCollector+greedy (k=5),5,SPATIAL_ISLANDS,10,1,20000,1,4,1,n/a,0.0755,2176.947,22.7815,133.158
P2PCollector+greedy (k=5),5,SPATIAL_ISLANDS,20,1,1000,1,4,1,n/a,0.066,8760.6935,45.088,67.4385
P2PCollector+greedy (k=5),5,SPATIAL_ISLANDS,20,1,5000,1,4,1,n/a,0.1605,1925.696,14.23,117.2165
P2PCollector+greedy (k=5),5,SPATIAL_ISLANDS,20,1,10000,1,4,1,n/a,0.225,1848.1259999999997,16.6855,124.30850000000001
P2PCollector+greedy (k=5),5,SPATIAL_ISLANDS,20,1,20000,1,4,1,n/a,0.3395,2168.3445,22.128999999999998,134.0435
P2PCollector+nearest (k=0),0,BASELINE,5,1,1000,1,4,1,n/a,0.04,8788.892,125.957,636.487
