metric,variant_k,spawnScenario,count,mean,median,std,min,max
Taxi Travel Distance [km],P2PCollector+greedy (k=0),SPATIAL_ISLANDS,200,103.45864999999999,86.2,40.49872887982916,21.37,164.54
Taxi Travel Distance [km],P2PCollector+greedy (k=1),BASELINE,200,242.2594,176.29500000000002,153.8570836542567,79.22,819.69
Taxi Travel Distance [km],P2PCollector+greedy (k=1),SPATIAL_IMBALANCE,200,105.42514999999999,93.22,43.42731248101962,18.73,175.1
Taxi Travel Distance [km],P2PCollector+greedy (k=1),SPATIAL_ISLANDS,200,105.8073,91.28,42.285543696855704,21.37,174.12
Taxi Travel Distance [km],P2PCollector+greedy (k=2),BASELINE,200,233.42165,177.115,137.2014617535618,87.39,731.97
Taxi Travel Distance [km],P2PCollector+greedy (k=2),SPATIAL_IMBALANCE,200,106.5334,94.915,44.18409747622943,18.73,175.12
Taxi Travel Distance [km],P2PCollector+greedy (k=2),SPATIAL_ISLANDS,200,108.10764999999999,94.61,43.18882500141111,21.37,177.4
Taxi Travel Distance [km],P2PCollector+greedy (k=5),BASELINE,200,244.21835,185.3,141.9416794128851,89.29,802.17
Taxi Travel Distance [km],P2PCollector+greedy (k=5),SPATIAL_IMBALANCE,200,108.0375,94.69,45.59783867916392,18.73,177.15
Taxi Travel Distance [km],P2PCollector+greedy (k=5),SPATIAL_ISLANDS,200,111.11645,100.825,45.19492346972913,21.37,184.09
Taxi Travel Distance [km],P2PCollector+nearest (k=0),BASELINE,200,239.69799999999998,186.525,143.30155922522937,84.57,828.03
Taxi Travel Distance [km],P2PCollector+nearest (k=0),SPATIAL_IMBALANCE,200,104.58760000000001,93.02000000000001,42.708436767171385,18.73,178.82
Taxi Travel Distance [km],P2PCollector+nearest (k=0),SPATIAL_ISLANDS,200,103.46135,86.2,40.497010593530995,21.37,164.54
Taxi Travel Distance [km],P2PCollector+nearest (k=1),BASELINE,200,235.35244999999998,184.36,133.67656118613422,86.38,726.82
Taxi Travel Distance [km],P2PCollector+nearest (k=1),SPATIAL_IMBALANCE,200,105.3365,93.22,43.453791234057654,18.73,175.1
Taxi Travel Distance [km],P2PCollector+nearest (k=1),SPATIAL_ISLANDS,200,105.59925,91.495,41.902043604443,21.37,172.56
Taxi Travel Distance [km],P2PCollector+nearest (k=2),BASELINE,200,234.50154999999998,180.68,136.6763984952254,88.83,781.33
Taxi Travel Distance [km],P2PCollector+nearest (k=2),SPATIAL_IMBALANCE,200,106.27159999999999,94.47,44.102638413308966,18.73,175.12
Taxi Travel Distance [km],P2PCollector+nearest (k=2),SPATIAL_ISLANDS,200,108.04965,94.735,43.194438007123736,21.37,177.41
Taxi Travel Distance [km],P2PCollector+nearest (k=5),BASELINE,200,238.97435000000002,177.60000000000002,146.02062525402144,89.33,753.03
Taxi Travel Distance [km],P2PCollector+nearest (k=5),SPATIAL_IMBALANCE,200,107.7314,94.50999999999999,45.29402042734076,18.73,175.55
Taxi Travel Distance [km],P2PCollector+nearest (k=5),SPATIAL_ISLANDS,200,110.87889999999999,100.07,44.99803614687401,21.37,185.65
Taxi Travel Distance [km],SinglePassenger,BASELINE,50,143.0322,178.19,55.389990191627334,64.96,223.51
Taxi Travel Distance [km],SinglePassenger,SPATIAL_IMBALANCE,50,127.88040000000001,155.61,46.142087652142045,63.28,186.47
Taxi Travel Distance [km],SinglePassenger,SPATIAL_ISLANDS,50,135.7952,166.95499999999998,49.306432011597494,63.49,193.66
Taxi Travel Distance [km],VehicleRouting,BASELINE,50,127.4478,152.225,45.49836239663478,62.06,185.47
Taxi Travel Distance [km],VehicleRouting,SPATIAL_IMBALANCE,50,119.2296,140.735,40.497539706576184,60.13,178.3
Taxi Travel Distance [km],VehicleRouting,SPATIAL_ISLANDS,50,126.1656,152.29500000000002,42.53886228773278,62.07,179.03
