metric,taxiCount,clientCount,spawnScenario,factor,level,count,mean,std,min,max,note
Client Travel Time [min],39,638,BASELINE,p2pOverlayShortcuts,1,1800,11.262864370370371,1.270696687298747,9.351883333333335,15.344383333333333,descriptive marginal screen; crossed factors and repeated seeds not modeled
Client Travel Time [min],39,638,BASELINE,idleRoamingMode,none,720,12.126371296296295,1.469766200679354,10.334083333333332,15.344383333333333,descriptive marginal screen; crossed factors and repeated seeds not modeled
Client Travel Time [min],39,638,BASELINE,idleRoamingMode,past-avg,720,10.772420509259259,0.6432441013851765,9.811333333333332,11.863633333333333,descriptive marginal screen; crossed factors and repeated seeds not modeled
Client Travel Time [min],39,638,BASELINE,idleRoamingMode,past-avg-revisit,720,12.098670462962964,1.4446036278981358,10.301933333333332,15.344383333333333,descriptive marginal screen; crossed factors and repeated seeds not modeled
Client Travel Time [min],39,638,BASELINE,idleRoamingMode,past-avg-total,720,10.761161712962963,0.649436355779381,9.811416666666666,11.8646,descriptive marginal screen; crossed factors and repeated seeds not modeled
Client Travel Time [min],39,638,BASELINE,idleRoamingMode,random,720,10.571052592592592,0.8085759210650338,9.351883333333335,11.888816666666665,descriptive marginal screen; crossed factors and repeated seeds not modeled
Client Travel Time [min],39,638,RUSH_HOUR,kHops,0,1200,11.526148444444445,1.4620370767825712,9.430200000000001,16.724083333333333,descriptive marginal screen; crossed factors and repeated seeds not modeled
Client Travel Time [min],39,638,RUSH_HOUR,kHops,1,1200,11.49611175,1.393528039841828,9.430200000000001,16.724433333333334,descriptive marginal screen; crossed factors and repeated seeds not modeled
Client Travel Time [min],39,638,RUSH_HOUR,kHops,2,1200,11.493449875,1.3771382534193506,9.430200000000001,16.88495,descriptive marginal screen; crossed factors and repeated seeds not modeled
Client Travel Time [min],39,638,RUSH_HOUR,p2pRqsRadius,1000,1200,12.27054598611111,2.121502429776947,9.430200000000001,16.88495,descriptive marginal screen; crossed factors and repeated seeds not modeled
Client Travel Time [min],39,638,RUSH_HOUR,p2pRqsRadius,2000,1200,10.615098249999999,0.23809029117369435,10.019066666666667,11.131816666666667,descriptive marginal screen; crossed factors and repeated seeds not modeled
Client Travel Time [min],39,638,RUSH_HOUR,p2pRqsRadius,3000,1200,11.630065833333333,0.1561847588157706,11.23065,11.938033333333333,descriptive marginal screen; crossed factors and repeated seeds not modeled
Client Travel Time [min],39,638,RUSH_HOUR,p2pStrategy,greedy,1800,11.505102138888889,1.410794672468895,9.430200000000001,16.88495,descriptive marginal screen; crossed factors and repeated seeds not modeled
Client Travel Time [min],39,638,RUSH_HOUR,p2pStrategy,nearest,1800,11.505371240740741,1.4117292134847335,9.430200000000001,16.88495,descriptive marginal screen; crossed factors and repeated seeds not modeled
Client Travel Time [min],39,638,RUSH_HOUR,p2pOverlayShortcuts,0,1800,11.514053027777779,1.4288979675151816,9.430200000000001,16.88495,descriptive marginal screen; crossed factors and repeated seeds not modeled
Client Travel Time [min],39,638,RUSH_HOUR,p2pOverlayShortcuts,1,1800,11.496420351851851,1.3933470754587507,9.430200000000001,16.724083333333333,descriptive marginal screen; crossed factors and repeated seeds not modeled
Client Travel Time [min],39,638,RUSH_HOUR,idleRoamingMode,none,720,12.354630555555557,1.8745258591392318,10.255883333333333,16.88495,descriptive marginal screen; crossed factors and repeated seeds not modeled
Client Travel Time [min],39,638,RUSH_HOUR,idleRoamingMode,past-avg,720,11.149264953703703,0.5488516151839476,10.13425,12.20055,descriptive marginal screen; crossed factors and repeated seeds not modeled
