algorithm,kHops,p2pRequestRepublishTicks,p2pRqsRadius,taxiCount,clientCount,taxiSeatCount,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingEnabled,idleRoamingStrategy,idleRoamingMode,spawnScenario,metric,runs,avgOfAvg,stdDevOfAvg,minAvg,maxAvg,avgSpread,minSpread,maxSpread
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,true,random,random,RUSH_HOUR,Client Waiting Time [min],4,137.21,5.585440895757464,128.18,143.26,1042.75,904.0,1195.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,true,random,random,RUSH_HOUR,Client Travel Time [min],4,588.38,12.616584323817635,570.56,600.58,1561.75,1474.0,1675.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,true,random,random,RUSH_HOUR,Calculation Time [millis],4,0.01,0.0,0.01,0.01,4.75,0.0,7.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,true,random,random,RUSH_HOUR,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,true,random,random,RUSH_HOUR,Simulation Time [millis],4,0.01,0.0,0.01,0.01,7.25,6.0,9.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,true,random,random,RUSH_HOUR,Taxi Travel Distance [km],4,485912.0525,2927.83301464047,481677.49,489604.91,164969.8925,156795.08999999997,170972.76999999996
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,true,random,random,RUSH_HOUR,Client Waiting Time [min],4,629.605,16.542976606403105,611.61,656.45,11778.75,11088.0,13128.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,true,random,random,RUSH_HOUR,Client Travel Time [min],4,2439.23,18.857729184607543,2417.2,2469.16,13191.0,12128.0,14741.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,true,random,random,RUSH_HOUR,Calculation Time [millis],4,1.4525000000000001,0.04437059837324716,1.4,1.51,29.25,27.0,32.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,true,random,random,RUSH_HOUR,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,true,random,random,RUSH_HOUR,Simulation Time [millis],4,1.9200000000000002,0.05787918451395107,1.86,2.0,30.25,27.0,34.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,true,random,random,SPATIAL_IMBALANCE,Taxi Travel Distance [km],4,294640.3625,8157.326261635547,282075.86,304475.15,75954.22750000001,68931.27000000002,81372.19000000003
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,true,random,random,SPATIAL_IMBALANCE,Client Waiting Time [min],4,139.6475,3.0812122208637374,136.5,143.33,997.5,831.0,1165.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,true,random,random,SPATIAL_IMBALANCE,Client Travel Time [min],4,527.6424999999999,2.0474053702186117,524.51,530.25,1455.5,1337.0,1519.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,true,random,random,SPATIAL_IMBALANCE,Calculation Time [millis],4,0.01,0.0,0.01,0.01,4.75,4.0,5.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,true,random,random,SPATIAL_IMBALANCE,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,true,random,random,SPATIAL_IMBALANCE,Simulation Time [millis],4,0.01,0.0,0.01,0.01,4.75,4.0,5.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,true,random,random,SPATIAL_IMBALANCE,Taxi Travel Distance [km],4,755393.2025,2400.624083778748,751924.06,758541.57,20664.392499999987,19612.75,21924.380000000005
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,true,random,random,SPATIAL_IMBALANCE,Client Waiting Time [min],4,3582.55,27.908725338144745,3537.93,3613.66,14957.25,14593.0,15374.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,true,random,random,SPATIAL_IMBALANCE,Client Travel Time [min],4,4841.8175,26.1071392295288,4797.87,4861.9,15425.75,14903.0,15805.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,true,random,random,SPATIAL_IMBALANCE,Calculation Time [millis],4,3.7074999999999996,0.02046338192968123,3.69,3.74,36.0,34.0,38.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,true,random,random,SPATIAL_IMBALANCE,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,true,random,random,SPATIAL_IMBALANCE,Simulation Time [millis],4,4.305,0.02499999999999991,4.28,4.33,37.25,35.0,40.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,true,random,random,SPATIAL_ISLANDS,Taxi Travel Distance [km],4,336579.945,10763.762716795396,320951.53,347417.31,61073.31749999999,43729.28999999998,73013.51000000001
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,true,random,random,SPATIAL_ISLANDS,Client Waiting Time [min],4,149.26,3.668276161904931,143.68,152.92,1179.0,901.0,1522.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,true,random,random,SPATIAL_ISLANDS,Client Travel Time [min],4,587.2975,5.571877488782395,581.66,596.5,1519.5,1355.0,1690.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,true,random,random,SPATIAL_ISLANDS,Calculation Time [millis],4,0.01,0.0,0.01,0.01,2.75,2.0,3.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,true,random,random,SPATIAL_ISLANDS,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,true,random,random,SPATIAL_ISLANDS,Simulation Time [millis],4,0.01,0.0,0.01,0.01,2.75,2.0,3.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,true,random,random,SPATIAL_ISLANDS,Taxi Travel Distance [km],4,775862.9874999999,1938.2244927687964,773676.32,778301.3,23939.51999999999,22327.560000000056,24903.920000000042
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,true,random,random,SPATIAL_ISLANDS,Client Waiting Time [min],4,4462.5025000000005,46.74665943947229,4382.29,4498.51,22180.5,21942.0,22686.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,true,random,random,SPATIAL_ISLANDS,Client Travel Time [min],4,5978.0625,43.51512172509691,5906.32,6016.36,22352.0,22167.0,22809.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,true,random,random,SPATIAL_ISLANDS,Calculation Time [millis],4,4.0024999999999995,0.06832825184358236,3.92,4.07,38.25,32.0,42.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,true,random,random,SPATIAL_ISLANDS,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,true,random,random,SPATIAL_ISLANDS,Simulation Time [millis],4,4.6225,0.08437268515343123,4.52,4.72,40.0,34.0,44.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,true,past-avg,past-avg,BASELINE,Taxi Travel Distance [km],4,118524.65,2792.791714208205,115830.02,123005.49,244110.05,222514.43,270888.85
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,true,past-avg,past-avg,BASELINE,Client Waiting Time [min],4,184.30749999999998,39.21942399819253,143.41,246.58,2076.0,1656.0,2710.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,true,past-avg,past-avg,BASELINE,Client Travel Time [min],4,644.4425,34.87840261178828,607.42,701.79,2479.0,2193.0,2990.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,true,past-avg,past-avg,BASELINE,Calculation Time [millis],4,0.01,0.0,0.01,0.01,2.5,2.0,3.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,true,past-avg,past-avg,BASELINE,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,true,past-avg,past-avg,BASELINE,Simulation Time [millis],4,0.015000000000000001,0.005,0.01,0.02,2.5,2.0,3.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,true,past-avg,past-avg,BASELINE,Taxi Travel Distance [km],4,346986.45,2557.885156677284,343107.26,350266.49,717117.49,711455.97,721105.88
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,true,past-avg,past-avg,BASELINE,Client Waiting Time [min],4,511.53000000000003,13.77856124564534,502.05,535.27,11883.25,10013.0,15421.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,true,past-avg,past-avg,BASELINE,Client Travel Time [min],4,2344.16,12.277825540379737,2331.82,2362.84,13413.75,11687.0,16307.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,true,past-avg,past-avg,BASELINE,Calculation Time [millis],4,2.8149999999999995,0.04974937185533104,2.78,2.9,30.5,28.0,34.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,true,past-avg,past-avg,BASELINE,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,true,past-avg,past-avg,BASELINE,Simulation Time [millis],4,3.29,0.05873670062235369,3.24,3.39,31.5,29.0,35.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,true,past-avg,past-avg,RUSH_HOUR,Taxi Travel Distance [km],4,111338.1575,799.227873368262,109961.73,111904.53,188156.73500000002,168126.76,203218.15999999997
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,true,past-avg,past-avg,RUSH_HOUR,Client Waiting Time [min],4,213.3425,11.465852290606227,194.39,225.23,2196.75,1645.0,2823.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,true,past-avg,past-avg,RUSH_HOUR,Client Travel Time [min],4,659.3775,17.914925865043383,634.24,678.71,2560.75,2175.0,3128.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,true,past-avg,past-avg,RUSH_HOUR,Calculation Time [millis],4,0.01,0.0,0.01,0.01,2.75,2.0,3.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,true,past-avg,past-avg,RUSH_HOUR,Custom Time [micros],4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TaxiAlgorithmP2PCollector,0,15,1000,39,638,1,nearest,1,4,0,1,200,true,past-avg,past-avg,RUSH_HOUR,Simulation Time [millis],4,0.01,0.0,0.01,0.01,2.75,2.0,3.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,true,past-avg,past-avg,RUSH_HOUR,Taxi Travel Distance [km],4,292509.9925,478.63874233993755,291840.1,293173.31,624854.8825000001,589095.47,645143.01
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,true,past-avg,past-avg,RUSH_HOUR,Client Waiting Time [min],4,1583.81,17.492033901179123,1568.65,1612.94,18049.25,16254.0,20078.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,true,past-avg,past-avg,RUSH_HOUR,Client Travel Time [min],4,3311.83,22.20461325941071,3290.28,3348.75,22160.75,19942.0,24487.0
TaxiAlgorithmP2PCollector,0,15,1000,1685,27762,1,nearest,1,4,0,1,200,true,past-avg,past-avg,RUSH_HOUR,Calculation Time [millis],4,3.1850000000000005,0.04092676385936229,3.12,3.22,37.75,34.0,40.0
